candidate_id	flopo_id	label
FLOPO_VALUE_chestnut_brown	FLOPO_0980262	chestnut-brown
FLOPO_VALUE_cream_flushed_with_red	FLOPO_0980263	cream flushed with red
FLOPO_VALUE_dark_green	FLOPO_0980264	dark-green
FLOPO_VALUE_pale_bluish_lilac	FLOPO_0980265	pale bluish-lilac
FLOPO_VALUE_pale_rose_lilac	FLOPO_0980266	pale rose-lilac
FLOPO_VALUE_pink_flushed	FLOPO_0980267	pink-flushed
FLOPO_VALUE_almost_globular	FLOPO_0980268	almost globular
FLOPO_VALUE_creamy_pink	FLOPO_0980269	creamy-pink
FLOPO_VALUE_red_flushed_green	FLOPO_0980270	red flushed green
FLOPO_VALUE_oval_mango_shaped	FLOPO_0980271	oval mango-shaped
FLOPO_VALUE_deep_red	FLOPO_0980272	deep red
FLOPO_VALUE_almost_spherical	FLOPO_0980273	almost spherical
FLOPO_VALUE_greenish_yellow_inside	FLOPO_0980274	greenish yellow inside
FLOPO_VALUE_pink_streaked	FLOPO_0980275	pink streaked
FLOPO_VALUE_streaked_with_pink_behind	FLOPO_0980276	streaked with pink behind
FLOPO_VALUE_inflated_oval	FLOPO_0980277	inflated oval
FLOPO_VALUE_slightly_rounded	FLOPO_0980278	slightly rounded
FLOPO_VALUE_clustered_along_the_apical_portion	FLOPO_0980279	clustered along the apical portion
FLOPO_VALUE_smooth_oval	FLOPO_0980280	smooth oval
FLOPO_VALUE_white_hairy	FLOPO_0980281	white-hairy
FLOPO_VALUE_green_striped	FLOPO_0980282	green-striped
FLOPO_VALUE_yellow_green_veined	FLOPO_0980283	yellow green-veined
FLOPO_VALUE_bluish_lilac	FLOPO_0980284	bluish-lilac
FLOPO_VALUE_chestnut_red	FLOPO_0980285	chestnut-red
FLOPO_VALUE_cream_or_white	FLOPO_0980286	cream or white
FLOPO_VALUE_pointed_black	FLOPO_0980287	pointed black
FLOPO_VALUE_four_petalled_bulbous	FLOPO_0980288	four-petalled bulbous
FLOPO_VALUE_unevenly_lobed	FLOPO_0980289	unevenly lobed
