flopo_id	label	entity	old_filler	old_filler_label	new_filler	new_filler_label	word_scope	action
FLOPO:0018977	stigma red brown	PO_0009073	PATO:0001287	red brown	PATO:0001287	reddish brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0018988	micropyle orange	PO_0020025	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019000	heartwood dark brown	PO_0004512	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019020	sapwood pale pink	PO_0004513	PATO:0002020	pale pink	FLOPO:0988035	pale pink	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019032	stalk black	PO_0025066	PATO:0000317	black	FLOPO:0988011	black	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019083	epicalyx red	PO_0009063	PATO:0000322	red	FLOPO:0988001	red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019092	petal red	PO_0009032	PATO:0000322	red	FLOPO:0988001	red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019097	leaflet grey	PO_0020049	PATO:0000950	grey	FLOPO:0988010	gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019119	antiraphe yellow	PO_0020028	PATO:0000324	yellow	FLOPO:0988004	yellow	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019126	tepal orange	PO_0009033	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019133	pedicel dark red	PO_0009052	PATO:0001261	dark red	FLOPO:0988042	dark red	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019145	keel yellow brown	PO_0025327	PATO:0002411	yellow brown	FLOPO:0988018	yellowish brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019192	leaf axil pink	PO_0009023	PATO:0000954	pink	FLOPO:0988000	pink	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019202	stigma dark brown	PO_0009073	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019241	axil orange	PO_0025224	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019250	vascular bundle ochre	PO_0005020	PATO:0001945	ochre	FLOPO:0988004	yellow	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019251	gynophore purple	PO_0006330	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019262	petiolule purple	PO_0020050	PATO:0000951	purple	FLOPO:0988008	purple	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019275	exocarp dark brown	PO_0009085	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019293	simple leaf green	PO_0020042	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019298	stem light brown	PO_0009047	PATO:0001246	light brown	FLOPO:0988082	light brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019320	perianth maroon	PO_0009058	PATO:0001426	maroon	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019330	pedicel yellow brown	PO_0009052	PATO:0002411	yellow brown	FLOPO:0988018	yellowish brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019332	rhizoid white	PO_0030078	PATO:0000323	white	FLOPO:0988009	white	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019333	rhizoid color	PO_0030078	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0019336	pappus violet	PO_0025393	PATO:0001424	violet	FLOPO:0988027	violet	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019360	palea light green	PO_0009038	PATO:0001250	light green	FLOPO:0988166	light green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019371	placenta brown	PO_0025078	PATO:0000952	brown	FLOPO:0988003	brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019374	costa green	PO_0030072	PATO:0000320	green	FLOPO:0988006	green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019384	filament brown	PO_0009067	PATO:0000952	brown	FLOPO:0988003	brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019391	ligule orange	PO_0020105	PATO:0000953	orange	FLOPO:0988002	orange	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019402	bud yellow green	PO_0000055	PATO:0001941	yellow green	PATO:0001941	yellow green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019413	corolla vermilion	PO_0009059	PATO:0001302	vermilion	FLOPO:0988001	red	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019444	valve blue	PO_0025228	PATO:0000318	blue	FLOPO:0988007	blue	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0019478	involucre lilac	PO_0009100	PATO:0001943	lilac	FLOPO:0988008	purple	RELATED	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0019490	style yellow green	PO_0009074	PATO:0001941	yellow green	PATO:0001941	yellow green	EXACT	repoint filler in EquivalentTo axiom
