proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L3_003	FLOPO:0988032	deep pink	backbone_class	3	3	new_flopo_local	ISCCNBS:L3_003
ISCCNBS:L3_004	FLOPO:0988033	light pink	backbone_class	3	4	new_flopo_local	ISCCNBS:L3_004
ISCCNBS:L3_005	FLOPO:0988034	moderate pink	backbone_class	3	5	new_flopo_local	ISCCNBS:L3_005
ISCCNBS:L3_006	PATO:0104151	dark pink	backbone_class	3	6	existing_pato_reused	ISCCNBS:L3_006
ISCCNBS:L3_007	FLOPO:0988035	pale pink	backbone_class	3	7	new_flopo_local	ISCCNBS:L3_007
ISCCNBS:L3_008	FLOPO:0988036	grayish pink	backbone_class	3	8	new_flopo_local	ISCCNBS:L3_008
ISCCNBS:L3_009	PATO:0104059	pinkish white	backbone_class	3	9	existing_pato_reused	ISCCNBS:L3_009
ISCCNBS:L3_010	FLOPO:0988037	pinkish gray	backbone_class	3	10	new_flopo_local	ISCCNBS:L3_010
ISCCNBS:L3_011	FLOPO:0988038	vivid red	backbone_class	3	11	new_flopo_local	ISCCNBS:L3_011
ISCCNBS:L3_012	FLOPO:0988039	strong red	backbone_class	3	12	new_flopo_local	ISCCNBS:L3_012
ISCCNBS:L3_013	PATO:0104189	deep red	backbone_class	3	13	existing_pato_reused	ISCCNBS:L3_013
ISCCNBS:L3_014	FLOPO:0988040	very deep red	backbone_class	3	14	new_flopo_local	ISCCNBS:L3_014
ISCCNBS:L3_015	FLOPO:0988041	moderate red	backbone_class	3	15	new_flopo_local	ISCCNBS:L3_015
ISCCNBS:L3_016	FLOPO:0988042	dark red	backbone_class	3	16	new_flopo_local	ISCCNBS:L3_016
ISCCNBS:L3_017	FLOPO:0988043	very dark red	backbone_class	3	17	new_flopo_local	ISCCNBS:L3_017
ISCCNBS:L3_018	FLOPO:0988044	light grayish red	backbone_class	3	18	new_flopo_local	ISCCNBS:L3_018
ISCCNBS:L3_019	FLOPO:0988045	grayish red	backbone_class	3	19	new_flopo_local	ISCCNBS:L3_019
ISCCNBS:L3_020	FLOPO:0988046	dark grayish red	backbone_class	3	20	new_flopo_local	ISCCNBS:L3_020
ISCCNBS:L3_021	FLOPO:0988047	blackish red	backbone_class	3	21	new_flopo_local	ISCCNBS:L3_021
ISCCNBS:L3_022	FLOPO:0988048	reddish gray	backbone_class	3	22	new_flopo_local	ISCCNBS:L3_022
ISCCNBS:L3_023	FLOPO:0988049	dark reddish gray	backbone_class	3	23	new_flopo_local	ISCCNBS:L3_023
ISCCNBS:L3_024	FLOPO:0988050	reddish black	backbone_class	3	24	new_flopo_local	ISCCNBS:L3_024
ISCCNBS:L3_025	FLOPO:0988051	vivid yellowish pink	backbone_class	3	25	new_flopo_local	ISCCNBS:L3_025
ISCCNBS:L3_026	FLOPO:0988052	strong yellowish pink	backbone_class	3	26	new_flopo_local	ISCCNBS:L3_026
ISCCNBS:L3_027	FLOPO:0988053	deep yellowish pink	backbone_class	3	27	new_flopo_local	ISCCNBS:L3_027
ISCCNBS:L3_028	FLOPO:0988054	light yellowish pink	backbone_class	3	28	new_flopo_local	ISCCNBS:L3_028
ISCCNBS:L3_029	FLOPO:0988055	moderate yellowish pink	backbone_class	3	29	new_flopo_local	ISCCNBS:L3_029
ISCCNBS:L3_030	FLOPO:0988056	dark yellowish pink	backbone_class	3	30	new_flopo_local	ISCCNBS:L3_030
ISCCNBS:L3_031	FLOPO:0988057	pale yellowish pink	backbone_class	3	31	new_flopo_local	ISCCNBS:L3_031
ISCCNBS:L3_032	FLOPO:0988058	grayish yellowish pink	backbone_class	3	32	new_flopo_local	ISCCNBS:L3_032
ISCCNBS:L3_033	FLOPO:0988059	brownish pink	backbone_class	3	33	new_flopo_local	ISCCNBS:L3_033
ISCCNBS:L3_034	FLOPO:0988060	vivid reddish orange	backbone_class	3	34	new_flopo_local	ISCCNBS:L3_034
ISCCNBS:L3_035	FLOPO:0988061	strong reddish orange	backbone_class	3	35	new_flopo_local	ISCCNBS:L3_035
ISCCNBS:L3_036	FLOPO:0988062	deep reddish orange	backbone_class	3	36	new_flopo_local	ISCCNBS:L3_036
ISCCNBS:L3_037	FLOPO:0988063	moderate reddish orange	backbone_class	3	37	new_flopo_local	ISCCNBS:L3_037
ISCCNBS:L3_038	FLOPO:0988064	dark reddish orange	backbone_class	3	38	new_flopo_local	ISCCNBS:L3_038
ISCCNBS:L3_039	FLOPO:0988065	grayish reddish orange	backbone_class	3	39	new_flopo_local	ISCCNBS:L3_039
ISCCNBS:L3_040	FLOPO:0988066	strong reddish brown	backbone_class	3	40	new_flopo_local	ISCCNBS:L3_040
ISCCNBS:L3_041	FLOPO:0988067	deep reddish brown	backbone_class	3	41	new_flopo_local	ISCCNBS:L3_041
ISCCNBS:L3_042	FLOPO:0988068	light reddish brown	backbone_class	3	42	new_flopo_local	ISCCNBS:L3_042
ISCCNBS:L3_043	FLOPO:0988069	moderate reddish brown	backbone_class	3	43	new_flopo_local	ISCCNBS:L3_043
ISCCNBS:L3_044	FLOPO:0988070	dark reddish brown	backbone_class	3	44	new_flopo_local	ISCCNBS:L3_044
