proposal_key	flopo_id	label	signature	kind
EQ|PO_0025174|PATO_0002149	FLOPO_0989224	spine stipule ivory	EQ|PO_0025174|PATO_0002149	phenotype
EQ|PO_0025174|PATO_0002180	FLOPO_0989225	spine stipule straight	EQ|PO_0025174|PATO_0002180	phenotype
EQ|PO_0025174|PATO_0002215	FLOPO_0989226	spine stipule falciform	EQ|PO_0025174|PATO_0002215	phenotype
EQ|PO_0025248|PATO_0000122	FLOPO_0989227	pseudostem length	EQ|PO_0025248|PATO_0000122	phenotype
EQ|PO_0025355|PATO_0005014	FLOPO_0989228	corm subspherical	EQ|PO_0025355|PATO_0005014	phenotype
EQ|PO_0025600|PATO_0000323	FLOPO_0989229	staminate flower white	EQ|PO_0025600|PATO_0000323	phenotype
EQ|PO_0025600|PATO_0001334	FLOPO_0989230	staminate flower diameter	EQ|PO_0025600|PATO_0001334	phenotype
EQ|PO_0025600|PATO_0001436	FLOPO_0989231	staminate flower sessile (sensu botany)	EQ|PO_0025600|PATO_0001436	phenotype
EQ|PO_0025600|PATO_0001499	FLOPO_0989232	staminate flower spherical	EQ|PO_0025600|PATO_0001499	phenotype
EQ|PO_0025600|PATO_0001979	FLOPO_0989233	staminate flower lobed	EQ|PO_0025600|PATO_0001979	phenotype
EQ|PO_0030091|PATO_0000386	FLOPO_0989234	capsule fruit hard	EQ|PO_0030091|PATO_0000386	phenotype
EQ|PO_0030091|PATO_0000454	FLOPO_0989235	capsule fruit hairy	EQ|PO_0030091|PATO_0000454	phenotype
EQ|PO_0030091|PATO_0000946	FLOPO_0989236	capsule fruit oblong	EQ|PO_0030091|PATO_0000946	phenotype
EQ|PO_0030091|PATO_0001424	FLOPO_0989237	capsule fruit violet	EQ|PO_0030091|PATO_0001424	phenotype
EQ|PO_0030091|PATO_0001891	FLOPO_0989238	capsule fruit ovate	EQ|PO_0030091|PATO_0001891	phenotype
EQ|PO_0030100|PATO_0000320	FLOPO_0989239	legume fruit green	EQ|PO_0030100|PATO_0000320	phenotype
EQ|PO_0030100|PATO_0000404	FLOPO_0989240	legume fruit coiled	EQ|PO_0030100|PATO_0000404	phenotype
EQ|PO_0030100|PATO_0000622	FLOPO_0989241	legume fruit erect	EQ|PO_0030100|PATO_0000622	phenotype
EQ|PO_0030100|PATO_0000950	FLOPO_0989242	legume fruit grey	EQ|PO_0030100|PATO_0000950	phenotype
EQ|PO_0030100|PATO_0000951	FLOPO_0989243	legume fruit purple	EQ|PO_0030100|PATO_0000951	phenotype
EQ|PO_0030100|PATO_0001199	FLOPO_0989244	legume fruit linear	EQ|PO_0030100|PATO_0001199	phenotype
EQ|PO_0030100|PATO_0001287	FLOPO_0989245	legume fruit red brown	EQ|PO_0030100|PATO_0001287	phenotype
EQ|PO_0030100|PATO_0001365	FLOPO_0989246	legume fruit spiny	EQ|PO_0030100|PATO_0001365	phenotype
EQ|PO_0030100|PATO_0002165	FLOPO_0989247	legume fruit drooping	EQ|PO_0030100|PATO_0002165	phenotype
EQ|PO_0030100|PATO_0002212	FLOPO_0989248	legume fruit slender	EQ|PO_0030100|PATO_0002212	phenotype
EQ|PO_0030100|PATO_0002254	FLOPO_0989249	legume fruit flattened	EQ|PO_0030100|PATO_0002254	phenotype
EQ|PO_0030100|PATO_0002457	FLOPO_0989250	legume fruit leaf-like	EQ|PO_0030100|PATO_0002457	phenotype
EQ|PO_0030100|PATO_0104032	FLOPO_0989251	legume fruit coriaceous	EQ|PO_0030100|PATO_0104032	phenotype
EQ|PO_0030100|PATO_0104311	FLOPO_0989252	legume fruit purplish red	EQ|PO_0030100|PATO_0104311	phenotype
EQ|PO_0030102|PATO_0000327	FLOPO_0989253	nut fruit low brightness	EQ|PO_0030102|PATO_0000327	phenotype
EQ|PO_0030102|PATO_0001499	FLOPO_0989254	nut fruit spherical	EQ|PO_0030102|PATO_0001499	phenotype
EQ|PO_0030102|PATO_0001540	FLOPO_0989255	nut fruit glutinous	EQ|PO_0030102|PATO_0001540	phenotype
EQ|PO_0030102|PATO_0001891	FLOPO_0989256	nut fruit ovate	EQ|PO_0030102|PATO_0001891	phenotype
EQ|PO_0030102|PATO_0001936	FLOPO_0989257	nut fruit obovate	EQ|PO_0030102|PATO_0001936	phenotype
EQ|PO_0030102|PATO_0002359	FLOPO_0989258	nut fruit broad	EQ|PO_0030102|PATO_0002359	phenotype
EQ|PO_0030103|PATO_0000122	FLOPO_0989259	drupe fruit length	EQ|PO_0030103|PATO_0000122	phenotype
EQ|PO_0030103|PATO_0000317	FLOPO_0989260	drupe fruit black	EQ|PO_0030103|PATO_0000317	phenotype
EQ|PO_0030103|PATO_0000453	FLOPO_0989261	drupe fruit glabrous	EQ|PO_0030103|PATO_0000453	phenotype
EQ|PO_0030103|PATO_0001373	FLOPO_0989262	drupe fruit glistening	EQ|PO_0030103|PATO_0001373	phenotype
EQ|PO_0030103|PATO_0001482	FLOPO_0989263	drupe fruit prominent	EQ|PO_0030103|PATO_0001482	phenotype
EQ|PO_0030105|PATO_0000122	FLOPO_0989264	follicle fruit length	EQ|PO_0030105|PATO_0000122	phenotype
EQ|PO_0030105|PATO_0000386	FLOPO_0989265	follicle fruit hard	EQ|PO_0030105|PATO_0000386	phenotype
EQ|PO_0030105|PATO_0000701	FLOPO_0989266	follicle fruit smooth	EQ|PO_0030105|PATO_0000701	phenotype
EQ|PO_0030105|PATO_0001365	FLOPO_0989267	follicle fruit spiny	EQ|PO_0030105|PATO_0001365	phenotype
EQ|PO_0030105|PATO_0001891	FLOPO_0989268	follicle fruit ovate	EQ|PO_0030105|PATO_0001891	phenotype
EQ|PO_0030107|PATO_0001873	FLOPO_0989269	achene fruit cylindrical	EQ|PO_0030107|PATO_0001873	phenotype
EQ|PO_0030108|PATO_0000122	FLOPO_0989270	berry fruit length	EQ|PO_0030108|PATO_0000122	phenotype
EQ|PO_0030108|PATO_0000317	FLOPO_0989271	berry fruit black	EQ|PO_0030108|PATO_0000317	phenotype
EQ|PO_0030108|PATO_0000322	FLOPO_0989272	berry fruit red	EQ|PO_0030108|PATO_0000322	phenotype
EQ|PO_0030113|PATO_0000406	FLOPO_0989273	flower pedicel curved	EQ|PO_0030113|PATO_0000406	phenotype
EQ|PO_0030113|PATO_0000454	FLOPO_0989274	flower pedicel hairy	EQ|PO_0030113|PATO_0000454	phenotype
EQ|PO_0030113|PATO_0000954	FLOPO_0989275	flower pedicel pink	EQ|PO_0030113|PATO_0000954	phenotype
EQ|PO_0030113|PATO_0002359	FLOPO_0989276	flower pedicel broad	EQ|PO_0030113|PATO_0002359	phenotype
EQ|PO_0030115|PATO_0000322	FLOPO_0989277	raceme inflorescence red	EQ|PO_0030115|PATO_0000322	phenotype
EQ|PO_0030115|PATO_0001802	FLOPO_0989278	raceme inflorescence loose	EQ|PO_0030115|PATO_0001802	phenotype
EQ|PO_0030115|PATO_0104035	FLOPO_0989279	raceme inflorescence pendent	EQ|PO_0030115|PATO_0104035	phenotype
EQ|PO_0030117|PATO_0000324	FLOPO_0989280	spike inflorescence yellow	EQ|PO_0030117|PATO_0000324	phenotype
EQ|PO_0030121|PATO_0000323	FLOPO_0989281	capitulum inflorescence white	EQ|PO_0030121|PATO_0000323	phenotype
EQ|PO_0030121|PATO_0000921	FLOPO_0989282	capitulum inflorescence width	EQ|PO_0030121|PATO_0000921	phenotype
EQ|PO_0030121|PATO_0000951	FLOPO_0989283	capitulum inflorescence purple	EQ|PO_0030121|PATO_0000951	phenotype
EQ|PO_0030121|PATO_0001164	FLOPO_0989284	capitulum inflorescence dense	EQ|PO_0030121|PATO_0001164	phenotype
EQ|PO_0030121|PATO_0001263	FLOPO_0989285	capitulum inflorescence dark yellow	EQ|PO_0030121|PATO_0001263	phenotype
EQ|PO_0030121|PATO_0001373	FLOPO_0989286	capitulum inflorescence glistening	EQ|PO_0030121|PATO_0001373	phenotype
EQ|PO_0030121|PATO_0002191	FLOPO_0989287	capitulum inflorescence aromatic	EQ|PO_0030121|PATO_0002191	phenotype
EQ|PO_0030121|PATO_0002254	FLOPO_0989288	capitulum inflorescence flattened	EQ|PO_0030121|PATO_0002254	phenotype
EQ|PO_0030123|PATO_0001873	FLOPO_0989289	panicle inflorescence cylindrical	EQ|PO_0030123|PATO_0001873	phenotype
EQ|PO_0030124|PATO_0000467	FLOPO_0989290	corymb inflorescence present	EQ|PO_0030124|PATO_0000467	phenotype
EQ|PO_0030129|PATO_0002476	FLOPO_0989291	umbel inflorescence terminal	EQ|PO_0030129|PATO_0002476	phenotype
PHENO|PO_0030091	FLOPO_0989292	capsule fruit phenotype	PHENO|PO_0030091	phenotype_parent
PHENO|PO_0030100	FLOPO_0989293	legume fruit phenotype	PHENO|PO_0030100	phenotype_parent
PHENO|PO_0030103	FLOPO_0989294	drupe fruit phenotype	PHENO|PO_0030103	phenotype_parent
PHENO|PO_0030108	FLOPO_0989295	berry fruit phenotype	PHENO|PO_0030108	phenotype_parent
PHENO|PO_0020043	FLOPO_0989296	compound leaf phenotype	PHENO|PO_0020043	phenotype_parent
PHENO|PO_0030105	FLOPO_0989297	follicle fruit phenotype	PHENO|PO_0030105	phenotype_parent
PHENO|PO_0025174	FLOPO_0989298	spine stipule phenotype	PHENO|PO_0025174	phenotype_parent
PHENO|PO_0030113	FLOPO_0989299	flower pedicel phenotype	PHENO|PO_0030113	phenotype_parent
PHENO|PO_0030126	FLOPO_0989300	cyme inflorescence phenotype	PHENO|PO_0030126	phenotype_parent
PHENO|PO_0030129	FLOPO_0989301	umbel inflorescence phenotype	PHENO|PO_0030129	phenotype_parent
PHENO|PO_0000049	FLOPO_0989302	leaf lamina abaxial epidermis phenotype	PHENO|PO_0000049	phenotype_parent
PHENO|PO_0000050	FLOPO_0989303	leaf lamina adaxial epidermis phenotype	PHENO|PO_0000050	phenotype_parent
PHENO|PO_0004545	FLOPO_0989304	shoot-borne shoot system phenotype	PHENO|PO_0004545	phenotype_parent
PHENO|PO_0005031	FLOPO_0989305	microsporangiate strobilus phenotype	PHENO|PO_0005031	phenotype_parent
PHENO|PO_0006018	FLOPO_0989306	leaf adaxial epidermis phenotype	PHENO|PO_0006018	phenotype_parent
PHENO|PO_0030098	FLOPO_0989307	schizocarp fruit phenotype	PHENO|PO_0030098	phenotype_parent
PHENO|PO_0000044	FLOPO_0989308	prop root phenotype	PHENO|PO_0000044	phenotype_parent
PHENO|PO_0000048	FLOPO_0989309	leaf lamina vascular system phenotype	PHENO|PO_0000048	phenotype_parent
PHENO|PO_0004509	FLOPO_0989310	glandular trichome phenotype	PHENO|PO_0004509	phenotype_parent
PHENO|PO_0005032	FLOPO_0989311	megasporangiate strobilus phenotype	PHENO|PO_0005032	phenotype_parent
PHENO|PO_0006019	FLOPO_0989312	leaf abaxial epidermis phenotype	PHENO|PO_0006019	phenotype_parent
PHENO|PO_0009081	FLOPO_0989313	higher order inflorescence axis phenotype	PHENO|PO_0009081	phenotype_parent
PHENO|PO_0025008	FLOPO_0989314	petal margin phenotype	PHENO|PO_0025008	phenotype_parent
PHENO|PO_0025600	FLOPO_0989315	staminate flower phenotype	PHENO|PO_0025600	phenotype_parent
PHENO|PO_0030124	FLOPO_0989316	corymb inflorescence phenotype	PHENO|PO_0030124	phenotype_parent
