proposal_key	flopo_id	label	signature	kind
EQ|PO_0009001|PATO_0104311	FLOPO_0989044	fruit purplish red	EQ|PO_0009001|PATO_0104311	phenotype
EQ|PO_0020041|PATO_0001730	FLOPO_0989045	stipule deciduous (generic)	EQ|PO_0020041|PATO_0001730	phenotype
EQ|PO_0025034|PATO_0001272	FLOPO_0989046	leaf desaturated green	EQ|PO_0025034|PATO_0001272	phenotype
EQ|PO_0025034|PATO_0104007	FLOPO_0989047	leaf greyish green	EQ|PO_0025034|PATO_0104007	phenotype
EQ|PO_0025034|PATO_0104020	FLOPO_0989048	leaf blue green	EQ|PO_0025034|PATO_0104020	phenotype
EQ|PO_0025073|PATO_0001287	FLOPO_0989049	branch red brown	EQ|PO_0025073|PATO_0001287	phenotype
EQ|PO_0025073|PATO_0002348	FLOPO_0989050	branch ligneous	EQ|PO_0025073|PATO_0002348	phenotype
EQ|PO_0025073|PATO_0104019	FLOPO_0989051	branch succulent	EQ|PO_0025073|PATO_0104019	phenotype
EQ|PO_0025172|PATO_0000462	FLOPO_0989052	thorn absent	EQ|PO_0025172|PATO_0000462	phenotype
EQ|PO_0025172|PATO_0002180	FLOPO_0989053	thorn straight	EQ|PO_0025172|PATO_0002180	phenotype
EQ|PO_0030091|PATO_0000322	FLOPO_0989054	capsule fruit red	EQ|PO_0030091|PATO_0000322	phenotype
EQ|PO_0030091|PATO_0001334	FLOPO_0989055	capsule fruit diameter	EQ|PO_0030091|PATO_0001334	phenotype
EQ|PO_0030100|PATO_0000946	FLOPO_0989056	legume fruit oblong	EQ|PO_0030100|PATO_0000946	phenotype
EQ|PO_0030100|PATO_0001873	FLOPO_0989057	legume fruit cylindrical	EQ|PO_0030100|PATO_0001873	phenotype
EQ|PO_0030102|PATO_0001245	FLOPO_0989058	nut fruit dark brown	EQ|PO_0030102|PATO_0001245	phenotype
EQ|PO_0030103|PATO_0000921	FLOPO_0989059	drupe fruit width	EQ|PO_0030103|PATO_0000921	phenotype
EQ|PO_0030106|PATO_0000467	FLOPO_0989060	silique fruit present	EQ|PO_0030106|PATO_0000467	phenotype
EQ|PO_0030115|PATO_0002476	FLOPO_0989061	raceme inflorescence terminal	EQ|PO_0030115|PATO_0002476	phenotype
EQ|PO_0000003|PATO_0001331	FLOPO_0989062	whole plant odorous	EQ|PO_0000003|PATO_0001331	phenotype
EQ|PO_0000049|PATO_0000454	FLOPO_0989063	leaf lamina abaxial epidermis hairy	EQ|PO_0000049|PATO_0000454	phenotype
EQ|PO_0000050|PATO_0000453	FLOPO_0989064	leaf lamina adaxial epidermis glabrous	EQ|PO_0000050|PATO_0000453	phenotype
EQ|PO_0004518|PATO_0001268	FLOPO_0989065	bark desaturated brown	EQ|PO_0004518|PATO_0001268	phenotype
EQ|PO_0004545|PATO_0000122	FLOPO_0989066	shoot-borne shoot system length	EQ|PO_0004545|PATO_0000122	phenotype
EQ|PO_0004545|PATO_0000454	FLOPO_0989067	shoot-borne shoot system hairy	EQ|PO_0004545|PATO_0000454	phenotype
EQ|PO_0005031|PATO_0001629	FLOPO_0989068	microsporangiate strobilus aggregated	EQ|PO_0005031|PATO_0001629	phenotype
EQ|PO_0005031|PATO_0002476	FLOPO_0989069	microsporangiate strobilus terminal	EQ|PO_0005031|PATO_0002476	phenotype
EQ|PO_0006018|PATO_0000320	FLOPO_0989070	leaf adaxial epidermis green	EQ|PO_0006018|PATO_0000320	phenotype
EQ|PO_0006018|PATO_0001249	FLOPO_0989071	leaf adaxial epidermis dark green	EQ|PO_0006018|PATO_0001249	phenotype
EQ|PO_0009001|PATO_0104019	FLOPO_0989072	fruit succulent	EQ|PO_0009001|PATO_0104019	phenotype
EQ|PO_0009006|PATO_0000407	FLOPO_0989073	shoot system flat	EQ|PO_0009006|PATO_0000407	phenotype
EQ|PO_0009006|PATO_0001164	FLOPO_0989074	shoot system dense	EQ|PO_0009006|PATO_0001164	phenotype
EQ|PO_0009010|PATO_0001947	FLOPO_0989075	seed netted	EQ|PO_0009010|PATO_0001947	phenotype
EQ|PO_0009047|PATO_0104016	FLOPO_0989076	stem terete	EQ|PO_0009047|PATO_0104016	phenotype
EQ|PO_0009047|PATO_0104019	FLOPO_0989077	stem succulent	EQ|PO_0009047|PATO_0104019	phenotype
EQ|PO_0009049|PATO_0104031	FLOPO_0989078	inflorescence cream	EQ|PO_0009049|PATO_0104031	phenotype
EQ|PO_0020041|PATO_0001365	FLOPO_0989079	stipule spiny	EQ|PO_0020041|PATO_0001365	phenotype
EQ|PO_0020041|PATO_0001436	FLOPO_0989080	stipule sessile (sensu botany)	EQ|PO_0020041|PATO_0001436	phenotype
EQ|PO_0020075|PATO_0000467	FLOPO_0989081	mericarp present	EQ|PO_0020075|PATO_0000467	phenotype
EQ|PO_0020128|PATO_0002359	FLOPO_0989082	leaf margin broad	EQ|PO_0020128|PATO_0002359	phenotype
EQ|PO_0020137|PATO_0002258	FLOPO_0989083	leaf apex pointed	EQ|PO_0020137|PATO_0002258	phenotype
EQ|PO_0025034|PATO_0104041	FLOPO_0989084	leaf velutinous	EQ|PO_0025034|PATO_0104041	phenotype
EQ|PO_0025073|PATO_0001544	FLOPO_0989085	branch flexible	EQ|PO_0025073|PATO_0001544	phenotype
EQ|PO_0025073|PATO_0002445	FLOPO_0989086	branch torsioned	EQ|PO_0025073|PATO_0002445	phenotype
EQ|PO_0025083|PATO_0001891	FLOPO_0989087	strobilus ovate	EQ|PO_0025083|PATO_0001891	phenotype
EQ|PO_0025172|PATO_0000323	FLOPO_0989088	thorn white	EQ|PO_0025172|PATO_0000323	phenotype
EQ|PO_0025172|PATO_0001419	FLOPO_0989089	thorn sharp	EQ|PO_0025172|PATO_0001419	phenotype
EQ|PO_0025172|PATO_0002212	FLOPO_0989090	thorn slender	EQ|PO_0025172|PATO_0002212	phenotype
EQ|PO_0025174|PATO_0001365	FLOPO_0989091	spine stipule spiny	EQ|PO_0025174|PATO_0001365	phenotype
EQ|PO_0025174|PATO_0002310	FLOPO_0989092	spine stipule robust	EQ|PO_0025174|PATO_0002310	phenotype
EQ|PO_0030091|PATO_0000122	FLOPO_0989093	capsule fruit length	EQ|PO_0030091|PATO_0000122	phenotype
EQ|PO_0030091|PATO_0001875	FLOPO_0989094	capsule fruit triangular	EQ|PO_0030091|PATO_0001875	phenotype
EQ|PO_0030098|PATO_0000467	FLOPO_0989095	schizocarp fruit present	EQ|PO_0030098|PATO_0000467	phenotype
EQ|PO_0030100|PATO_0000453	FLOPO_0989096	legume fruit glabrous	EQ|PO_0030100|PATO_0000453	phenotype
EQ|PO_0030100|PATO_0000454	FLOPO_0989097	legume fruit hairy	EQ|PO_0030100|PATO_0000454	phenotype
EQ|PO_0030100|PATO_0001245	FLOPO_0989098	legume fruit dark brown	EQ|PO_0030100|PATO_0001245	phenotype
EQ|PO_0030100|PATO_0002215	FLOPO_0989099	legume fruit falciform	EQ|PO_0030100|PATO_0002215	phenotype
EQ|PO_0030100|PATO_0002226	FLOPO_0989100	legume fruit subcylindrical	EQ|PO_0030100|PATO_0002226	phenotype
EQ|PO_0030100|PATO_0002312	FLOPO_0989101	legume fruit segmented	EQ|PO_0030100|PATO_0002312	phenotype
EQ|PO_0030100|PATO_0002445	FLOPO_0989102	legume fruit torsioned	EQ|PO_0030100|PATO_0002445	phenotype
EQ|PO_0030102|PATO_0000946	FLOPO_0989103	nut fruit oblong	EQ|PO_0030102|PATO_0000946	phenotype
EQ|PO_0030102|PATO_0000952	FLOPO_0989104	nut fruit brown	EQ|PO_0030102|PATO_0000952	phenotype
EQ|PO_0030103|PATO_0000322	FLOPO_0989105	drupe fruit red	EQ|PO_0030103|PATO_0000322	phenotype
EQ|PO_0030103|PATO_0001499	FLOPO_0989106	drupe fruit spherical	EQ|PO_0030103|PATO_0001499	phenotype
EQ|PO_0030103|PATO_0001979	FLOPO_0989107	drupe fruit lobed	EQ|PO_0030103|PATO_0001979	phenotype
EQ|PO_0030108|PATO_0000921	FLOPO_0989108	berry fruit width	EQ|PO_0030108|PATO_0000921	phenotype
EQ|PO_0030108|PATO_0001499	FLOPO_0989109	berry fruit spherical	EQ|PO_0030108|PATO_0001499	phenotype
EQ|PO_0030108|PATO_0001891	FLOPO_0989110	berry fruit ovate	EQ|PO_0030108|PATO_0001891	phenotype
EQ|PO_0030121|PATO_0002388	FLOPO_0989111	capitulum inflorescence pedunculate	EQ|PO_0030121|PATO_0002388	phenotype
EQ|PO_0030121|PATO_0104031	FLOPO_0989112	capitulum inflorescence cream	EQ|PO_0030121|PATO_0104031	phenotype
EQ|PO_0000003|PATO_0001249	FLOPO_0989113	whole plant dark green	EQ|PO_0000003|PATO_0001249	phenotype
EQ|PO_0000003|PATO_0001734	FLOPO_0989114	whole plant semi-deciduous(plant)	EQ|PO_0000003|PATO_0001734	phenotype
EQ|PO_0000003|PATO_0104114	FLOPO_0989115	whole plant yellowish green	EQ|PO_0000003|PATO_0104114	phenotype
EQ|PO_0000013|PATO_0000454	FLOPO_0989116	cauline leaf hairy	EQ|PO_0000013|PATO_0000454	phenotype
EQ|PO_0000013|PATO_0002359	FLOPO_0989117	cauline leaf broad	EQ|PO_0000013|PATO_0002359	phenotype
EQ|PO_0000044|PATO_0000467	FLOPO_0989118	prop root present	EQ|PO_0000044|PATO_0000467	phenotype
EQ|PO_0000048|PATO_0000410	FLOPO_0989119	leaf lamina vascular system pinnate	EQ|PO_0000048|PATO_0000410	phenotype
EQ|PO_0000048|PATO_0001482	FLOPO_0989120	leaf lamina vascular system prominent	EQ|PO_0000048|PATO_0001482	phenotype
EQ|PO_0000049|PATO_0001252	FLOPO_0989121	leaf lamina abaxial epidermis light grey	EQ|PO_0000049|PATO_0001252	phenotype
EQ|PO_0000049|PATO_0001408	FLOPO_0989122	leaf lamina abaxial epidermis ciliated	EQ|PO_0000049|PATO_0001408	phenotype
EQ|PO_0000050|PATO_0000320	FLOPO_0989123	leaf lamina adaxial epidermis green	EQ|PO_0000050|PATO_0000320	phenotype
EQ|PO_0000050|PATO_0001373	FLOPO_0989124	leaf lamina adaxial epidermis glistening	EQ|PO_0000050|PATO_0001373	phenotype
EQ|PO_0000050|PATO_0104007	FLOPO_0989125	leaf lamina adaxial epidermis greyish green	EQ|PO_0000050|PATO_0104007	phenotype
EQ|PO_0000282|PATO_0001164	FLOPO_0989126	trichome dense	EQ|PO_0000282|PATO_0001164	phenotype
EQ|PO_0000282|PATO_0001419	FLOPO_0989127	trichome sharp	EQ|PO_0000282|PATO_0001419	phenotype
EQ|PO_0004509|PATO_0000323	FLOPO_0989128	glandular trichome white	EQ|PO_0004509|PATO_0000323	phenotype
EQ|PO_0004509|PATO_0000467	FLOPO_0989129	glandular trichome present	EQ|PO_0004509|PATO_0000467	phenotype
EQ|PO_0004509|PATO_0002117	FLOPO_0989130	glandular trichome glandular	EQ|PO_0004509|PATO_0002117	phenotype
EQ|PO_0004511|PATO_0000324	FLOPO_0989131	seed trichome yellow	EQ|PO_0004511|PATO_0000324	phenotype
EQ|PO_0004518|PATO_0104010	FLOPO_0989132	bark papyraceous	EQ|PO_0004518|PATO_0104010	phenotype
EQ|PO_0004545|PATO_0000622	FLOPO_0989133	shoot-borne shoot system erect	EQ|PO_0004545|PATO_0000622	phenotype
EQ|PO_0004545|PATO_0002348	FLOPO_0989134	shoot-borne shoot system ligneous	EQ|PO_0004545|PATO_0002348	phenotype
EQ|PO_0005031|PATO_0000122	FLOPO_0989135	microsporangiate strobilus length	EQ|PO_0005031|PATO_0000122	phenotype
EQ|PO_0005032|PATO_0001334	FLOPO_0989136	megasporangiate strobilus diameter	EQ|PO_0005032|PATO_0001334	phenotype
EQ|PO_0005032|PATO_0001629	FLOPO_0989137	megasporangiate strobilus aggregated	EQ|PO_0005032|PATO_0001629	phenotype
EQ|PO_0005032|PATO_0002351	FLOPO_0989138	megasporangiate strobilus fleshy	EQ|PO_0005032|PATO_0002351	phenotype
EQ|PO_0005032|PATO_0002476	FLOPO_0989139	megasporangiate strobilus terminal	EQ|PO_0005032|PATO_0002476	phenotype
EQ|PO_0006018|PATO_0000454	FLOPO_0989140	leaf adaxial epidermis hairy	EQ|PO_0006018|PATO_0000454	phenotype
EQ|PO_0006019|PATO_0000950	FLOPO_0989141	leaf abaxial epidermis grey	EQ|PO_0006019|PATO_0000950	phenotype
EQ|PO_0006019|PATO_0001250	FLOPO_0989142	leaf abaxial epidermis light green	EQ|PO_0006019|PATO_0001250	phenotype
EQ|PO_0006019|PATO_0002341	FLOPO_0989143	leaf abaxial epidermis tomentose	EQ|PO_0006019|PATO_0002341	phenotype
EQ|PO_0006034|PATO_0001412	FLOPO_0989144	leaflet margin unstructured	EQ|PO_0006034|PATO_0001412	phenotype
EQ|PO_0009001|PATO_0001268	FLOPO_0989145	fruit desaturated brown	EQ|PO_0009001|PATO_0001268	phenotype
EQ|PO_0009001|PATO_0001284	FLOPO_0989146	fruit desaturated red	EQ|PO_0009001|PATO_0001284	phenotype
EQ|PO_0009001|PATO_0001947	FLOPO_0989147	fruit netted	EQ|PO_0009001|PATO_0001947	phenotype
EQ|PO_0009001|PATO_0104079	FLOPO_0989148	fruit reddish purple	EQ|PO_0009001|PATO_0104079	phenotype
EQ|PO_0009006|PATO_0000950	FLOPO_0989149	shoot system grey	EQ|PO_0009006|PATO_0000950	phenotype
EQ|PO_0009006|PATO_0002359	FLOPO_0989150	shoot system broad	EQ|PO_0009006|PATO_0002359	phenotype
EQ|PO_0009010|PATO_0001286	FLOPO_0989151	seed desaturated yellow	EQ|PO_0009010|PATO_0001286	phenotype
EQ|PO_0009010|PATO_0002430	FLOPO_0989152	seed strap-shaped	EQ|PO_0009010|PATO_0002430	phenotype
EQ|PO_0009010|PATO_0104035	FLOPO_0989153	seed pendent	EQ|PO_0009010|PATO_0104035	phenotype
EQ|PO_0009046|PATO_0001251	FLOPO_0989154	flower dark grey	EQ|PO_0009046|PATO_0001251	phenotype
EQ|PO_0009046|PATO_0001260	FLOPO_0989155	flower light purple	EQ|PO_0009046|PATO_0001260	phenotype
EQ|PO_0009046|PATO_0001266	FLOPO_0989156	flower desaturated blue	EQ|PO_0009046|PATO_0001266	phenotype
EQ|PO_0009046|PATO_0001566	FLOPO_0989157	flower distributed	EQ|PO_0009046|PATO_0001566	phenotype
EQ|PO_0009046|PATO_0002191	FLOPO_0989158	flower aromatic	EQ|PO_0009046|PATO_0002191	phenotype
EQ|PO_0009046|PATO_0002260	FLOPO_0989159	flower semi erect	EQ|PO_0009046|PATO_0002260	phenotype
EQ|PO_0009046|PATO_0002430	FLOPO_0989160	flower strap-shaped	EQ|PO_0009046|PATO_0002430	phenotype
EQ|PO_0009046|PATO_0104059	FLOPO_0989161	flower pinkish white	EQ|PO_0009046|PATO_0104059	phenotype
EQ|PO_0009046|PATO_0104151	FLOPO_0989162	flower dark pink	EQ|PO_0009046|PATO_0104151	phenotype
EQ|PO_0009046|PATO_0104314	FLOPO_0989163	flower crimson	EQ|PO_0009046|PATO_0104314	phenotype
