id	label	synonyms	namespace
PO_0025610	stem hypodermis		plant_anatomy
PO_0025611	stem tegument layer	stem rind	plant_anatomy
PO_0025612	stem cortex		plant_anatomy
PO_0025613	spine petiole		plant_anatomy
PO_0025614	gemma		plant_anatomy
PO_0025615	rosette		plant_anatomy
PO_0025616	lemma apiculus		plant_anatomy
PO_0025617	carpel abaxial epidermis		plant_anatomy
PO_0025618	carpel adaxial epidermis		plant_anatomy
PO_0025619	leaf sheath margin		plant_anatomy
PO_0025620	metaxylem vessel		plant_anatomy
PO_0025621	metaxylem tracheid		plant_anatomy
PO_0025622	metaxylem vessel member	metaxylem vessel element	plant_anatomy
PO_0025623	ear infructescence axis	cob	plant_anatomy
PO_0025624	endodermis cell	endodermal cell|plant endodermal cell	plant_anatomy
PO_0025625	cortex-endodermis initial cell		plant_anatomy
PO_0025626	plant gall		plant_anatomy
PO_0025627	phloem parenchyma cell		""
PO_0025628	aggregate fruit	aggregate of fruit	""
PO_0028002	sporophyte development stage	sporophytic development stage|sporophytic phase|sporphyte phase	plant_structure_development_stage
PO_0028003	gametophyte development stage	gametophyte phase|gametophytic development stage|gametophytic phase	plant_structure_development_stage
PO_0028004	branch apex	branch tip	plant_anatomy
PO_0028005	gametophyte coma	comae	plant_anatomy
PO_0030001	chloronema cell		plant_anatomy
PO_0030002	caulonema cell		plant_anatomy
PO_0030003	protonema	portion of protonema tissue|protonemata	plant_anatomy
PO_0030004	chloronema	chloronemata|portion of chloronema tissue	plant_anatomy
PO_0030005	caulonema	caulonemata|portion of caulonema tissue	plant_anatomy
PO_0030006	protonema whole plant development stage	protonema phase|protonemal phase	plant_structure_development_stage
PO_0030007	meristematic apical cell	apical cell|apical initial	plant_anatomy
PO_0030008	root meristematic apical cell	root apical cell|root apical initial	plant_anatomy
PO_0030009	shoot meristematic apical cell	shoot apical cell|shoot apical initial	plant_anatomy
PO_0030010	shoot axis meristematic apical cell	shoot axis apical cell|shoot axis apical initial	plant_anatomy
PO_0030011	leaf meristematic apical cell	leaf apical cell|leaf apical initial	plant_anatomy
PO_0030012	vascular leaf meristematic apical cell	vascular leaf apical cell|vascular leaf apical initial	plant_anatomy
PO_0030013	non-vascular leaf meristematic apical cell	non-vascular leaf apical cell|non-vascular leaf apical initial|phyllid apical cell|phyllid apical initial	plant_anatomy
PO_0030014	gametophyte meristematic apical cell	gametophyte apical cell|gametophyte apical initial|gametophytic meristematic apical cell	plant_anatomy
PO_0030015	sporophyte meristematic apical cell	sporophyte apical cell|sporophyte apical initial|sporophytic meristematic apical cell	plant_anatomy
PO_0030016	seta meristematic apical cell	seta apical cell|seta apical initial	plant_anatomy
PO_0030017	spore capsule mouth	sporangium mouth	plant_anatomy
PO_0030018	gametophore	ramet	plant_anatomy
PO_0030019	gametophore meristematic apical cell	gametophore apical cell|gametophore apical initial	plant_anatomy
PO_0030020	gametophore axis	caulid|cauloid|non-vascular shoot axis	plant_anatomy
