proposal_key	flopo_id	label	kind	provisional_for
GF:biennial_life_span	FLOPO_0987000	biennial life span	supporting_quality	PATO
GF:arborescent_habit	FLOPO_0987001	arborescent habit	supporting_quality	PATO
GF:frutescent_habit	FLOPO_0987002	frutescent habit	supporting_quality	PATO
GF:suffrutescent_habit	FLOPO_0987003	suffrutescent habit	supporting_quality	PATO
GF:whole_plant_suffrutescent	FLOPO_0987004	whole plant suffrutescent	phenotype	FLOPO
