term_id	surface_form	normalized_form	language	semantic_role	category	organ_context	definition	source_id	source_record_id	source_version	source_url	license	translation_group	target_id	target_label	target_namespace	mapping_relation	mapping_confidence	mapping_method	review_status	curator_orcid	mapping_date	component_ids	logical_operator	attribute_id	candidate_ids	candidate_labels	candidate_scores	corpus_frequency	evidence	notes
BTERM:fna_categories:39a9fa13596dae	hesperidium	hesperidium	en	entity	structure			fna_categories	cdf9d9e2-d683-488b-a620-73daa15b7c25	2013-07-29		not recorded		PO_0009001	fruit	PO	skos:broadMatch	0.85	ontology_scoped_synonym_proposal	proposed						PO_0009001	fruit	0.8500	0		
BTERM:fna_categories:39bace6579946d	stylelike	stylelike	en	quality	architecture			fna_categories	a287b9a2-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.3	hybrid_candidate_retrieval	proposed						PATO_0002253|PATO_0002482|PATO_0002235|PATO_0002459|PATO_0002520|PATO_0001947|PATO_0002210|PATO_0002219|PATO_0002227|PATO_0002458	platelike|slit-like|blade-like|sepal-like|scute-like|netted|bulbous|fan-shaped|cup-shaped|pin-like	0.3000|0.3000|0.2913|0.2913|0.2913|0.2676|0.2676|0.2676|0.2676|0.2676	0		
BTERM:fna_categories:39d354e13082bd	tubercular	tubercular	en	quality	shape			fna_categories	27c45631-407d-4aaf-8005-afcdab209af3	2013-07-29		not recorded					flopo:unmapped	0.3933	hybrid_candidate_retrieval	proposed						PATO_0002299|PATO_0002121	tubular|trabecular	0.3933|0.3200	0		
BTERM:fna_categories:39d42794e5bf28	persistent	persistent	en	ambiguous	duration			fna_categories	8eaa31f3-2dc4-4bc3-957b-d97f198a3576	2013-07-29		not recorded					flopo:unmapped	0.5871	hybrid_candidate_retrieval	proposed						PO_0025245|PO_0025247|PO_0025246|PATO_0000082|PATO_0002293|PATO_0104035|PATO_0001403|PATO_0002324|PATO_0000546|PATO_0000455	persistent sepal|persistent stamen|persistent tepal|persistence|permanent|pendent|pluripotent|offset quality|photoinsensitive|pubescent	0.5871|0.5839|0.5565|0.4168|0.3296|0.3095|0.2760|0.2760|0.2571|0.2530	9		
BTERM:fna_categories:39e2daad39b321	ceraceous	ceraceous	en	quality	external texture			fna_categories	81a70c99-0539-4c1f-882c-2361d8a81a04	2013-07-29		not recorded					flopo:unmapped	0.3678	hybrid_candidate_retrieval	proposed						PATO_0104032|PATO_0104010|PATO_0002352|PATO_0001547|PATO_0002348|PATO_0002507|PATO_0002519|PATO_0002462|PATO_0001971|PATO_0002438	coriaceous|papyraceous|herbaceous|quality of a gas|ligneous|keratinous|cancellous|collagenous|cladodromous|subdermal	0.3678|0.3567|0.3296|0.2760|0.2676|0.2530|0.2530|0.2467|0.2408|0.2408	0		
BTERM:fna_categories:39fdda4859ecd7	broomlike	broomlike	en	quality	shape			fna_categories	a2ed38f4-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.3095	hybrid_candidate_retrieval	proposed						PATO_0002210|PATO_0000276|PATO_0002235|PATO_0002363|PATO_0001873|PATO_0001947|PATO_0002219|PATO_0002227|PATO_0002458|PATO_0002467	bulbous|brood size|blade-like|bronze|cylindrical|netted|fan-shaped|cup-shaped|pin-like|lathlike	0.3095|0.2913|0.2913|0.2853|0.2676|0.2676|0.2676|0.2676|0.2676|0.2676	0		
BTERM:fna_categories:3a143763fc3a9c	awn	awn	en	entity	structure			fna_categories	3770462d-1696-49d9-af09-5caa5cd14d9f	2013-07-29		not recorded		PO_0025349	awn	PO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PO_0025349	awn	0.9900	0		
BTERM:fna_categories:3a1ffcdc53fec0	hastula	hastula	en	entity	structure			fna_categories	fa1be731-3481-45ad-8326-23c6761ecf0b	2013-07-29		not recorded					flopo:unmapped	0.2853	hybrid_candidate_retrieval	proposed						PO_0009049|PO_0025291|PO_0008015|PO_0025297|PO_0001013|PO_0025083|PO_0025289|PO_0025287|PO_0025293|PO_0030009	inflorescence|seedling hypocotyl|hypocotyl vascular system|seedling radicle|H late unicellular microspore stage|strobilus|seedling coleorhiza|seedling coleoptile|seedling epicotyl|shoot meristematic apical cell	0.2853|0.1539|0.1489|0.1391|0.1383|0.1383|0.1383|0.1367|0.1367|0.1359	0		
BTERM:fna_categories:3a33c816fab82a	chocolate	chocolate	en	quality	coloration			fna_categories	a20f7546-efdc-11e2-b45f-0026b9326338	2013-07-29		not recorded					flopo:unmapped	0.3095	hybrid_candidate_retrieval	proposed						PATO_0002295|PATO_0002342|PATO_0002330|PATO_0001873	areolate|cupulate|oblanceolate|cylindrical	0.3095|0.3095|0.2760|0.2676	2		
BTERM:fna_categories:3a4c9464f3c36e	maturation	maturation	en	quality	character			fna_categories	8a4ea9ba-5d87-46a5-8626-bcc144aff550	2013-07-29		not recorded					flopo:unmapped	0.3829	hybrid_candidate_retrieval	proposed						PATO_0000328|PATO_0001229|PATO_0000646|PATO_0000017|PATO_0001976|PATO_0001701|PATO_0001416|PATO_0000141|PATO_0000639|PATO_0001028	low saturation|high saturation|malformed|color saturation|serration|mature|regular duration|structure|degenerate|acceleration	0.3829|0.3731|0.3708|0.3640|0.3296|0.3200|0.3053|0.3031|0.3031|0.3031	0		
