flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0021375	21375	flower abnormal	EQ|PO_0009046|PATO_0000460	0
http://purl.obolibrary.org/obo/FLOPO_0021376	21376	stolon subulate	EQ|PO_0003024|PATO_0001954	0
http://purl.obolibrary.org/obo/FLOPO_0021377	21377	phyllome sinus tubular	EQ|PO_0025383|PATO_0002299	0
http://purl.obolibrary.org/obo/FLOPO_0021378	21378	persistent sepal decumbent	EQ|PO_0025245|PATO_0002343	0
http://purl.obolibrary.org/obo/FLOPO_0021379	21379	ray system drooping	EQ|PO_0025411|PATO_0002165	0
http://purl.obolibrary.org/obo/FLOPO_0021380	21380	ligule surrounding	EQ|PO_0020105|PATO_0001772	0
http://purl.obolibrary.org/obo/FLOPO_0021381	21381	persistent sepal whorled	EQ|PO_0025245|PATO_0001951	0
http://purl.obolibrary.org/obo/FLOPO_0021382	21382	peristome branched	EQ|PO_0030042|PATO_0000402	0
http://purl.obolibrary.org/obo/FLOPO_0021383	21383	peristome branchiness	EQ|PO_0030042|PATO_0002009	0
http://purl.obolibrary.org/obo/FLOPO_0021384	21384	leaf tip cuneate	EQ|PO_0025142|PATO_0001955	0
http://purl.obolibrary.org/obo/FLOPO_0021385	21385	leaf tip 2-D shape	EQ|PO_0025142|PATO_0002006	0
http://purl.obolibrary.org/obo/FLOPO_0021386	21386	plant callus scalloped	EQ|PO_0005052|PATO_0001889	0
http://purl.obolibrary.org/obo/FLOPO_0021387	21387	lemma tangled	EQ|PO_0009037|PATO_0001846	0
http://purl.obolibrary.org/obo/FLOPO_0021388	21388	corm linear	EQ|PO_0025355|PATO_0001199	0
http://purl.obolibrary.org/obo/FLOPO_0021389	21389	gamete phenotype	PHENO|PO_0025006	0
http://purl.obolibrary.org/obo/FLOPO_0021390	21390	gamete male	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021391	21391	gamete phenotypic sex	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021392	21392	leaflet revolute	EQ|PO_0020049|PATO_0001963	0
http://purl.obolibrary.org/obo/FLOPO_0021393	21393	shoot-borne root circular	EQ|PO_0000042|PATO_0000411	0
http://purl.obolibrary.org/obo/FLOPO_0021394	21394	shoot system orbicular	EQ|PO_0009006|PATO_0001934	0
http://purl.obolibrary.org/obo/FLOPO_0021395	21395	anther maroon	EQ|PO_0009066|PATO_0001426	0
http://purl.obolibrary.org/obo/FLOPO_0021396	21396	spikelet translucent	EQ|PO_0009051|PATO_0001354	0
http://purl.obolibrary.org/obo/FLOPO_0021397	21397	parenchyma arched	EQ|PO_0005421|PATO_0001594	0
http://purl.obolibrary.org/obo/FLOPO_0021398	21398	parenchyma concavity	EQ|PO_0005421|PATO_0002005	0
http://purl.obolibrary.org/obo/FLOPO_0021399	21399	lemma violet	EQ|PO_0009037|PATO_0001424	0
http://purl.obolibrary.org/obo/FLOPO_0021400	21400	shoot apex columnar	EQ|PO_0000037|PATO_0002063	0
http://purl.obolibrary.org/obo/FLOPO_0021401	21401	inflorescence inflorescence-like	EQ|PO_0009049|PATO_0002456	0
http://purl.obolibrary.org/obo/FLOPO_0021402	21402	leaf tendril young	EQ|PO_0025361|PATO_0000309	0
http://purl.obolibrary.org/obo/FLOPO_0021403	21403	leaf tendril age	EQ|PO_0025361|PATO_0000011	0
http://purl.obolibrary.org/obo/FLOPO_0021404	21404	phyllome sinus open	EQ|PO_0025383|PATO_0000610	0
http://purl.obolibrary.org/obo/FLOPO_0021405	21405	phyllome sinus closure	EQ|PO_0025383|PATO_0000136	0
http://purl.obolibrary.org/obo/FLOPO_0021406	21406	plant callus heart shaped	EQ|PO_0005052|PATO_0000948	0
http://purl.obolibrary.org/obo/FLOPO_0021407	21407	hilum subcylindrical	EQ|PO_0020063|PATO_0002226	0
http://purl.obolibrary.org/obo/FLOPO_0021408	21408	fruit cauline to	EQ|PO_0009001|PATO_0002350	0
http://purl.obolibrary.org/obo/FLOPO_0021409	21409	style pale pink	EQ|PO_0009074|PATO_0002020	0
http://purl.obolibrary.org/obo/FLOPO_0021410	21410	endocarp triangular	EQ|PO_0009086|PATO_0001875	0
http://purl.obolibrary.org/obo/FLOPO_0021411	21411	peristome slender	EQ|PO_0030042|PATO_0002212	0
http://purl.obolibrary.org/obo/FLOPO_0021412	21412	phyllome sinus brittle	EQ|PO_0025383|PATO_0002477	0
http://purl.obolibrary.org/obo/FLOPO_0021413	21413	rhizome curled	EQ|PO_0004542|PATO_0000405	0
http://purl.obolibrary.org/obo/FLOPO_0021414	21414	connective diameter	EQ|PO_0009068|PATO_0001334	0
http://purl.obolibrary.org/obo/FLOPO_0021415	21415	endosperm firm	EQ|PO_0009089|PATO_0002450	0
http://purl.obolibrary.org/obo/FLOPO_0021416	21416	seed displaced	EQ|PO_0009010|PATO_0002181	0
http://purl.obolibrary.org/obo/FLOPO_0021417	21417	perianth robust	EQ|PO_0009058|PATO_0002310	0
http://purl.obolibrary.org/obo/FLOPO_0021418	21418	endocarp inflated	EQ|PO_0009086|PATO_0002376	0
http://purl.obolibrary.org/obo/FLOPO_0021419	21419	endocarp structure, cavities	EQ|PO_0009086|PATO_0002014	0
http://purl.obolibrary.org/obo/FLOPO_0021420	21420	infructescence peripheral	EQ|PO_0006342|PATO_0002107	0
http://purl.obolibrary.org/obo/FLOPO_0021421	21421	connective hispid	EQ|PO_0009068|PATO_0002339	0
http://purl.obolibrary.org/obo/FLOPO_0021422	21422	bract spindle-shaped	EQ|PO_0009055|PATO_0001409	0
http://purl.obolibrary.org/obo/FLOPO_0021423	21423	testa U-shaped	EQ|PO_0020057|PATO_0001879	0
http://purl.obolibrary.org/obo/FLOPO_0021424	21424	endocarp protruding	EQ|PO_0009086|PATO_0001598	0
http://purl.obolibrary.org/obo/FLOPO_0021425	21425	nectary flat	EQ|PO_0009035|PATO_0000407	0
http://purl.obolibrary.org/obo/FLOPO_0021426	21426	shoot internode brittle	EQ|PO_0005005|PATO_0002477	0
http://purl.obolibrary.org/obo/FLOPO_0021427	21427	chlorenchyma phenotype	PHENO|PO_0005426	0
http://purl.obolibrary.org/obo/FLOPO_0021428	21428	chlorenchyma translucent	EQ|PO_0005426|PATO_0001354	0
http://purl.obolibrary.org/obo/FLOPO_0021429	21429	chlorenchyma opacity	EQ|PO_0005426|PATO_0000957	0
http://purl.obolibrary.org/obo/FLOPO_0021430	21430	inflorescence undifferentiated	EQ|PO_0009049|PATO_0002100	0
http://purl.obolibrary.org/obo/FLOPO_0021431	21431	funicle ovate	EQ|PO_0020006|PATO_0001891	0
http://purl.obolibrary.org/obo/FLOPO_0021432	21432	peristome dark violet	EQ|PO_0030042|PATO_0001705	0
http://purl.obolibrary.org/obo/FLOPO_0021433	21433	stipule recurved	EQ|PO_0020041|PATO_0002211	0
http://purl.obolibrary.org/obo/FLOPO_0021434	21434	terminal bud male	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021435	21435	corolla discoid	EQ|PO_0009059|PATO_0001874	0
http://purl.obolibrary.org/obo/FLOPO_0021436	21436	persistent sepal arrested	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021437	21437	persistent sepal offset quality	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021438	21438	rhizome in contact with	EQ|PO_0004542|PATO_0001961	0
http://purl.obolibrary.org/obo/FLOPO_0021439	21439	leaf lamina absent	EQ|PO_0020039|PATO_0000462	0
http://purl.obolibrary.org/obo/FLOPO_0021440	21440	stigma curled	EQ|PO_0009073|PATO_0000405	0
http://purl.obolibrary.org/obo/FLOPO_0021441	21441	lemma fleshy	EQ|PO_0009037|PATO_0002351	0
http://purl.obolibrary.org/obo/FLOPO_0021442	21442	seed present	EQ|PO_0009010|PATO_0000467	0
http://purl.obolibrary.org/obo/FLOPO_0021443	21443	root furrowed	EQ|PO_0009005|PATO_0001948	0
http://purl.obolibrary.org/obo/FLOPO_0021444	21444	leaf fragile	EQ|PO_0025034|PATO_0001362	0
http://purl.obolibrary.org/obo/FLOPO_0021445	21445	leaf fragility	EQ|PO_0025034|PATO_0001662	0
http://purl.obolibrary.org/obo/FLOPO_0021446	21446	whole plant ochre	EQ|PO_0000003|PATO_0001945	0
