proposal_key	flopo_id	label	kind	provisional_for
FLOPO_LOCAL:leaflet_apex	FLOPO_0986000	leaflet apex	supporting_entity	PO
FLOPO_LOCAL:leaflet_base	FLOPO_0986001	leaflet base	supporting_entity	PO
FLOPO_LOCAL:leaflet_lamina	FLOPO_0986002	leaflet lamina	supporting_entity	PO
FLOPO_LOCAL:indumentum	FLOPO_0986003	indumentum	supporting_entity	PO
FLOPO_LOCAL:perianth_lobe	FLOPO_0986004	perianth lobe	supporting_entity	PO
FLOPO_LOCAL:calyx_lobe	FLOPO_0986005	calyx lobe	supporting_entity	PO
FLOPO_LOCAL:corolla_lobe	FLOPO_0986006	corolla lobe	supporting_entity	PO
