flopo_iri	label
http://purl.obolibrary.org/obo/FLOPO_0022464	branch arrested
http://purl.obolibrary.org/obo/FLOPO_0020911	branch down
http://purl.obolibrary.org/obo/FLOPO_0005837	branch duration
http://purl.obolibrary.org/obo/FLOPO_0010239	branch female
http://purl.obolibrary.org/obo/FLOPO_0021449	branch hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0007181	branch male
http://purl.obolibrary.org/obo/FLOPO_0010134	branch occurrence
http://purl.obolibrary.org/obo/FLOPO_0022465	branch offset quality
http://purl.obolibrary.org/obo/FLOPO_0003569	branch onset quality
http://purl.obolibrary.org/obo/FLOPO_0007182	branch phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0003568	branch premature
http://purl.obolibrary.org/obo/FLOPO_0005836	branch subacute
http://purl.obolibrary.org/obo/FLOPO_0010133	branch synchronous
http://purl.obolibrary.org/obo/FLOPO_0000178	branch up
http://purl.obolibrary.org/obo/FLOPO_0001876	bud acute
http://purl.obolibrary.org/obo/FLOPO_0008903	bud arrested
http://purl.obolibrary.org/obo/FLOPO_0001877	bud duration
http://purl.obolibrary.org/obo/FLOPO_0013097	bud female
http://purl.obolibrary.org/obo/FLOPO_0017347	bud hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0009151	bud male
http://purl.obolibrary.org/obo/FLOPO_0008904	bud offset quality
http://purl.obolibrary.org/obo/FLOPO_0011575	bud onset quality
http://purl.obolibrary.org/obo/FLOPO_0009152	bud phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0011574	bud premature
http://purl.obolibrary.org/obo/FLOPO_0006843	bud subacute
http://purl.obolibrary.org/obo/FLOPO_0001420	bud up
http://purl.obolibrary.org/obo/FLOPO_0005077	bulb up
http://purl.obolibrary.org/obo/FLOPO_0002252	calyx acute
http://purl.obolibrary.org/obo/FLOPO_0019380	calyx arrested
http://purl.obolibrary.org/obo/FLOPO_0009860	calyx continuous
http://purl.obolibrary.org/obo/FLOPO_0003870	calyx down
http://purl.obolibrary.org/obo/FLOPO_0002253	calyx duration
http://purl.obolibrary.org/obo/FLOPO_0001322	calyx female
http://purl.obolibrary.org/obo/FLOPO_0016133	calyx hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0003583	calyx male
http://purl.obolibrary.org/obo/FLOPO_0009861	calyx occurrence
http://purl.obolibrary.org/obo/FLOPO_0019381	calyx offset quality
http://purl.obolibrary.org/obo/FLOPO_0021733	calyx onset quality
http://purl.obolibrary.org/obo/FLOPO_0001323	calyx phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0021732	calyx premature
http://purl.obolibrary.org/obo/FLOPO_0019506	calyx rate
http://purl.obolibrary.org/obo/FLOPO_0007453	calyx subacute
http://purl.obolibrary.org/obo/FLOPO_0003295	calyx up
http://purl.obolibrary.org/obo/FLOPO_0021016	calyx variability
http://purl.obolibrary.org/obo/FLOPO_0021015	calyx variant
http://purl.obolibrary.org/obo/FLOPO_0019949	cambium up
http://purl.obolibrary.org/obo/FLOPO_0011146	canal female
http://purl.obolibrary.org/obo/FLOPO_0018057	canal male
http://purl.obolibrary.org/obo/FLOPO_0011147	canal phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0014860	carpel acute
http://purl.obolibrary.org/obo/FLOPO_0023545	carpel arrested
http://purl.obolibrary.org/obo/FLOPO_0014861	carpel duration
http://purl.obolibrary.org/obo/FLOPO_0015526	carpel female
http://purl.obolibrary.org/obo/FLOPO_0006228	carpel hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0011143	carpel male
http://purl.obolibrary.org/obo/FLOPO_0023546	carpel offset quality
http://purl.obolibrary.org/obo/FLOPO_0006229	carpel phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0008040	carpel up
http://purl.obolibrary.org/obo/FLOPO_0016910	caruncle acute
http://purl.obolibrary.org/obo/FLOPO_0016911	caruncle duration
http://purl.obolibrary.org/obo/FLOPO_0019428	caruncle up
http://purl.obolibrary.org/obo/FLOPO_0021727	central spike of tassel inflorescence female
http://purl.obolibrary.org/obo/FLOPO_0017622	central spike of tassel inflorescence hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0015321	central spike of tassel inflorescence male
http://purl.obolibrary.org/obo/FLOPO_0012442	central spike of tassel inflorescence onset quality
http://purl.obolibrary.org/obo/FLOPO_0015322	central spike of tassel inflorescence phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0012441	central spike of tassel inflorescence premature
http://purl.obolibrary.org/obo/FLOPO_0022063	central zone acute
http://purl.obolibrary.org/obo/FLOPO_0017274	central zone arrested
http://purl.obolibrary.org/obo/FLOPO_0022064	central zone duration
http://purl.obolibrary.org/obo/FLOPO_0008871	central zone female
http://purl.obolibrary.org/obo/FLOPO_0002493	central zone hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0011611	central zone male
http://purl.obolibrary.org/obo/FLOPO_0017275	central zone offset quality
http://purl.obolibrary.org/obo/FLOPO_0005873	central zone onset quality
http://purl.obolibrary.org/obo/FLOPO_0002494	central zone phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0005872	central zone premature
http://purl.obolibrary.org/obo/FLOPO_0020802	coma down
http://purl.obolibrary.org/obo/FLOPO_0008934	coma up
http://purl.obolibrary.org/obo/FLOPO_0006889	connective acute
http://purl.obolibrary.org/obo/FLOPO_0013599	connective continuous
http://purl.obolibrary.org/obo/FLOPO_0013105	connective down
http://purl.obolibrary.org/obo/FLOPO_0006890	connective duration
http://purl.obolibrary.org/obo/FLOPO_0013600	connective occurrence
http://purl.obolibrary.org/obo/FLOPO_0017540	connective recurrent
http://purl.obolibrary.org/obo/FLOPO_0000782	connective up
http://purl.obolibrary.org/obo/FLOPO_0014653	corm up
http://purl.obolibrary.org/obo/FLOPO_0004972	corolla acute
http://purl.obolibrary.org/obo/FLOPO_0015429	corolla down
http://purl.obolibrary.org/obo/FLOPO_0004973	corolla duration
http://purl.obolibrary.org/obo/FLOPO_0007591	corolla female
http://purl.obolibrary.org/obo/FLOPO_0004975	corolla hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0004347	corolla male
http://purl.obolibrary.org/obo/FLOPO_0014248	corolla onset quality
http://purl.obolibrary.org/obo/FLOPO_0004348	corolla phenotypic sex
