# GeoNames L.CONT features (sws about.rdf) + Wikidata P1566
continent	name_en	geonames_id	wikidata_id	lat	lon
AF	Africa	6255146	Q15	7.1881	21.09375
AS	Asia	6255147	Q48	29.84064	89.29688
EU	Europe	6255148	Q46	48.69096	9.14062
NA	North America	6255149	Q49	46.07323	-100.54688
SA	South America	6255150	Q18	-14.60485	-57.65625
OC	Oceania	6255151	Q55643	-18.31281	138.51562
AN	Antarctica	6255152	Q51	-78.15856	16.40626
