#Version: 0.1
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 7/29/2013
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"arising","orientation","0","fna_gloss_final_20130517","054c67b9-054b-47ab-b995-0617855abb0c"
"aristate","shape","0","fna_gloss_final_20130517","b607f4d7-dc30-407f-ae9c-4c4ed8511532"
"armed","architecture","0","fna_gloss_final_20130517","c64da7f3-4b2e-47da-a631-51fe6e678ab6"
"aromatic","odor","0","fna_gloss_final_20130517","d467aa8d-177e-49f9-9618-99ff3efcb9e7"
"arranged","arrangement","0","fna_gloss_final_20130517","a1fe6cec-efdc-11e2-b45f-0026b9326338"
"arrayed","arrangement","0","fna_gloss_final_20130517","a1fe8bfa-efdc-11e2-b45f-0026b9326338"
"arrowhead-shaped","shape","0","fna_gloss_final_20130517","673b49a2-a5fa-4609-a4ba-7f29286f6308"
"articulate","architecture","0","fna_gloss_final_20130517","e6d0e8ad-a537-439e-9db8-2fe82f6fd0c8"
"articulated","architecture","0","fna_gloss_final_20130517","67a940e4-d85e-42c7-ba41-0f7da34bc28c"
"ascending","orientation","0","fna_gloss_final_20130517","c64943a6-a190-40a9-81c7-428b18f77414"
"ascidiate","architecture","0","fna_gloss_final_20130517","41adcec9-ec7c-42a6-bbf0-e4067efc78f9"
"ascidiform","shape","0","fna_gloss_final_20130517","02a721ce-933f-4676-bb0c-a46395439fd0"
"asepalous","architecture","0","fna_gloss_final_20130517","a2bde9f9-f4d5-48c6-a462-93f847b1e071"
"aseptate","architecture","0","fna_gloss_final_20130517","3de8b75f-abf2-4b9c-b781-e2bd13b3b71d"
"asexual","reproduction","0","fna_gloss_final_20130517","95f1592b-b8f0-41eb-bec1-b797d0530b80"
"ashy","coloration","0","fna_gloss_final_20130517","a1ff3398-efdc-11e2-b45f-0026b9326338"
"almondy","taste","0","fna_gloss_final_20130517","a1ff529c-efdc-11e2-b45f-0026b9326338"
"assurgent","orientation","0","fna_gloss_final_20130517","ee64afe0-b62e-48a6-883a-86020e6aae02"
