#Version: 0.1
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 7/29/2013
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"sepalous","architecture","0","fna_gloss_final_20130517","a1f33ac0-efdc-11e2-b45f-0026b9326338"
"serrate","shape","0","fna_gloss_final_20130517","35462616-8cbe-4fee-bf47-9c0ffad46038"
"spermous","architecture","0","fna_gloss_final_20130517","a1f37242-efdc-11e2-b45f-0026b9326338"
"stamened","architecture","0","fna_gloss_final_20130517","a1f3a208-efdc-11e2-b45f-0026b9326338"
"stichous","arrangement","0","fna_gloss_final_20130517","a1f3d070-efdc-11e2-b45f-0026b9326338"
"styled","architecture","0","fna_gloss_final_20130517","a1f3fbae-efdc-11e2-b45f-0026b9326338"
"stylous","architecture","0","fna_gloss_final_20130517","a1f428ae-efdc-11e2-b45f-0026b9326338"
"sulcate","architecture","0","fna_gloss_final_20130517","de87192b-1d00-453d-99dd-703dfcad55c8"
"tepaled","architecture","0","fna_gloss_final_20130517","a1f479b2-efdc-11e2-b45f-0026b9326338"
"tepalous","architecture","0","fna_gloss_final_20130517","a1f49f28-efdc-11e2-b45f-0026b9326338"
"toothed","shape","0","fna_gloss_final_20130517","b8d40908-2548-474f-bb04-16a6dddb7ed6"
"topped","shape","0","fna_gloss_final_20130517","a1f4d3c6-efdc-11e2-b45f-0026b9326338"
"valleculate","architecture","0","fna_gloss_final_20130517","bcfaefc8-b798-486a-9553-ea348ab0afa4"
"verticillate","arrangement","0","fna_gloss_final_20130517","25e693fc-3c10-4838-ab00-98d64dd7df4d"
"whorled","arrangement","0","fna_gloss_final_20130517","2b721c7c-2307-4f42-b1d8-e58d6d2ec7ae"
"winged","architecture","0","fna_gloss_final_20130517","698dea9d-c170-455a-b0a3-b9ad93d7ade8"
"abaxial","position","0","fna_gloss_final_20130517","465171d3-7d36-41b9-b93d-bdf8ca3e7a2c"
"abortive","maturation","0","fna_gloss_final_20130517","0757c044-a9fa-467a-9df5-16eb8a927d58"
"abrupt","shape","0","fna_gloss_final_20130517","658690d5-4c09-4c7b-9c0a-ec3864b70b8d"
"abscising","behaviour","0","fna_gloss_final_20130517","a1f538e8-efdc-11e2-b45f-0026b9326338"
"abscission","behaviour","0","fna_gloss_final_20130517","a1f55cf6-efdc-11e2-b45f-0026b9326338"
"absent","count","0","fna_gloss_final_20130517","ba0da2b4-1f21-4640-9651-27e7e5b01629"
"abundant","count","0","fna_gloss_final_20130517","a1f591ee-efdc-11e2-b45f-0026b9326338"
"acaulescent","architecture","0","fna_gloss_final_20130517","baeb072e-59b7-47cd-b510-ff6b3a782aa6"
"acaulous","architecture","0","fna_gloss_final_20130517","115be011-5f4d-4577-af1e-2c08b73ef1b5"
"accumbent","arrangement","0","fna_gloss_final_20130517","e0ddd0a5-45e5-4658-8913-6814c9893383"
"acephalous","architecture","0","fna_gloss_final_20130517","5c3ed604-7ea2-4786-aaa8-bc374d645a56"
"acerose","shape","0","fna_gloss_final_20130517","b30cb16a-c2f1-4c7f-80dd-c517d99aae5f"
"acetabuliform","shape","0","fna_gloss_final_20130517","04b9870e-60ed-422a-b6f9-a046ff7460f0"
"achlamydeous","architecture","0","fna_gloss_final_20130517","35806c50-5de6-46e7-aca8-4d756eca8c19"
"acicular","shape","0","fna_gloss_final_20130517","ad23798f-6acc-4845-9af9-a3a7ad7e6c30"
"acinaciform","shape","0","fna_gloss_final_20130517","da461a3d-b179-4708-95c3-c02ebd511c80"
"acrid","odor","0","fna_gloss_final_20130517","55125fe8-611a-4ea0-81c4-c606492a03be"
"acrocaulous","position","0","fna_gloss_final_20130517","bfbb16d9-5db4-4b58-995c-02b47117d0a1"
"acrodromous","venation","0","fna_gloss_final_20130517","d2db289e-7ba4-41ed-b1e7-dcc559a81563"
"acropetal","development","0","fna_gloss_final_20130517","efcb006d-d402-43ef-a2c7-2a25cc31de0a"
"acroramous","architecture","0","fna_gloss_final_20130517","69291286-bf66-499c-8224-1fbd86471c2e"
"acroscopic","orientation","0","fna_gloss_final_20130517","da13406c-216d-4812-a957-e40b81ad5dc1"
"actinocytic","architecture","0","fna_gloss_final_20130517","e7d96e12-f1ca-4d4b-8aeb-49f27d52ef78"
"actinodromous","venation","0","fna_gloss_final_20130517","8183458e-ddba-445c-b971-fd9a220a8c1c"
"actinomorphic","architecture","0","fna_gloss_final_20130517","90c15216-3167-49af-8ad5-b26bde718a40"
"aculeate","shape","0","fna_gloss_final_20130517","a1f71776-efdc-11e2-b45f-0026b9326338"
"acuminate","shape","0","fna_gloss_final_20130517","acd76ca4-54ae-48a8-abad-30c7aa996bb8"
"acute","shape","0","fna_gloss_final_20130517","e9ccc258-c44c-4b18-88e3-e9cd0169017f"
"acute-acuminate","shape","0","fna_gloss_final_20130517","a1f772c0-efdc-11e2-b45f-0026b9326338"
"acutish","shape","0","fna_gloss_final_20130517","a1f79412-efdc-11e2-b45f-0026b9326338"
"acyclic","arrangement","0","fna_gloss_final_20130517","328b2e30-46ac-42bd-b3d4-c1d5ce2b2427"
"adaxial","position","0","fna_gloss_final_20130517","2412ddf4-d793-43ad-b387-9c12438c143b"
"adenopetalous","architecture","0","fna_gloss_final_20130517","876cfd5f-273d-43c3-88a9-7256088a2a40"
"adherent","fusion","0","fna_gloss_final_20130517","9815718d-328f-4972-b751-733f4340b734"
"adjacent","arrangement","0","fna_gloss_final_20130517","1c6b7126-4dcf-4749-a0e3-007a7496d75d"
"adnate","fusion","0","fna_gloss_final_20130517","58c298ec-a373-4c1e-ae26-bc033dee67ae"
"adult","life_stage","0","fna_gloss_final_20130517","a1f7ee94-efdc-11e2-b45f-0026b9326338"
"adulthood","life_stage","0","fna_gloss_final_20130517","a1f81040-efdc-11e2-b45f-0026b9326338"
"fid","shape","0","fna_gloss_final_20130517","a1f82b2a-efdc-11e2-b45f-0026b9326338"
"seriate","architecture","0","fna_gloss_final_20130517","31e3bf05-74cc-43d4-b465-388d4f29e308"
"aerial-rooted","architecture","0","fna_gloss_final_20130517","d13141a1-1bed-47c4-8584-2c8ccd202c15"
"agamospermous","reproduction","0","fna_gloss_final_20130517","ca794a74-bcd9-4120-a65c-309be9370165"
"aged","life_stage","0","fna_gloss_final_20130517","a1f888ae-efdc-11e2-b45f-0026b9326338"
"agglomerate","architecture","0","fna_gloss_final_20130517","dd9e20b6-3721-42a8-afb1-e7004751e218"
"aggregated","arrangement","0","fna_gloss_final_20130517","2aa4edac-42ce-45d2-b06a-22148cf32929"
"aging","life_stage","0","fna_gloss_final_20130517","5600db91-f2f9-4043-8359-aea4565c8a6c"
"alate","architecture","0","fna_gloss_final_20130517","ef2cad7e-d0d1-495d-a2e7-dedf13f079cb"
"alete","architecture","0","fna_gloss_final_20130517","2225398c-fa25-4806-8bcb-2d11af334457"
"aligned","arrangement","0","fna_gloss_final_20130517","a1f8f21c-efdc-11e2-b45f-0026b9326338"
"alike","variability","0","fna_gloss_final_20130517","a1f90ea0-efdc-11e2-b45f-0026b9326338"
"allagostemonous","architecture","0","fna_gloss_final_20130517","a23b1cdf-f777-47f8-a844-8ac4554f2b31"
"allogamous","reproduction","0","fna_gloss_final_20130517","25bb8d1b-c01d-4b18-af24-f09ff2632035"
"allomictic","reproduction","0","fna_gloss_final_20130517","cf9d8416-b6cc-412f-aadd-2d09eff5e92d"
"alternate","arrangement","0","fna_gloss_final_20130517","de7f1c1e-e1eb-45d6-be30-6bbbd299a2b6"
"alternating","arrangement","0","fna_gloss_final_20130517","fd772f0c-63d3-485f-93ca-9963ef53c2c1"
"alveolate","relief","0","fna_gloss_final_20130517","98baddbf-ec2a-4ace-a8e0-865ad0146718"
"amentate","architecture","0","fna_gloss_final_20130517","7955bd51-2995-4123-a937-c4a397f29148"
"amphibious","habit","0","fna_gloss_final_20130517","8b1a536d-429b-4d40-9962-f52b2c2da63b"
"amphicarpic","architecture","0","fna_gloss_final_20130517","3acb87aa-a544-4631-87f7-9aa9e76d8282"
"amphicarpous","architecture","0","fna_gloss_final_20130517","d3bd10c5-1e5c-4448-8d63-05b0621f9fb1"
"amphimictic","reproduction","0","fna_gloss_final_20130517","ceb51c45-db6f-43dc-9c43-2c74f2e0556b"
"amphistomatic","architecture","0","fna_gloss_final_20130517","a0bea72a-24ba-4734-abab-b23b3c19e6a3"
"amphistomatous","architecture","0","fna_gloss_final_20130517","da1ab1e6-69fd-4e69-ae8f-6d814675cd62"
"amphistomic","architecture","0","fna_gloss_final_20130517","5413c9d2-9f81-42b3-b53d-d06788f33e58"
"amphitropous","orientation","0","fna_gloss_final_20130517","5858c197-92b2-40ee-87a3-5a677a7136a9"
"amplexicaul","architecture","0","fna_gloss_final_20130517","380eff93-46d4-4330-9f67-67bf44b80e0a"
"amplexicaulous","architecture","0","fna_gloss_final_20130517","b926f9aa-35ed-4645-be9d-42e4dbf225d5"
"ampliate","size","0","fna_gloss_final_20130517","d1af4736-d048-4839-9c13-5e6965c67fb8"
"ampulliform","shape","0","fna_gloss_final_20130517","20b04210-7d61-4568-b73e-1a432dfa5907"
"anadromous","venation","0","fna_gloss_final_20130517","83679c97-44e6-495f-96c3-6e15708abea3"
"anastomosing","architecture","0","fna_gloss_final_20130517","3e868545-e9ca-4fb7-9a1a-df6cf53266ee"
"anatropous","orientation","0","fna_gloss_final_20130517","4a75e1b1-6aa4-4d51-9626-365e86010fe2"
"anchoring","habit","0","fna_gloss_final_20130517","83d04953-7442-41a1-9e4b-17018956b052"
"androdioecious","reproduction","0","fna_gloss_final_20130517","37d8c0e3-5c87-4be0-8e13-51f84172965e"
"androgynecandrous","reproduction","0","fna_gloss_final_20130517","15c90141-c102-4da5-afbd-eb69be03d2eb"
"androgynous","reproduction","0","fna_gloss_final_20130517","6eb007da-89b5-4067-a7b6-57242bbdfa8e"
"andromonoecious","reproduction","0","fna_gloss_final_20130517","145b5e99-6fe7-42fa-b14c-99fdf2d5c7a3"
"andropetalous","architecture","0","fna_gloss_final_20130517","8a76f616-c367-41b3-9b6f-55c960849100"
"anemophilous","reproduction","0","fna_gloss_final_20130517","57579bf4-7e48-4fb4-99dc-3d975e965752"
"angulate","shape","0","fna_gloss_final_20130517","a1fb2686-efdc-11e2-b45f-0026b9326338"
"anisocytic","architecture","0","fna_gloss_final_20130517","f28df908-0dfc-4806-9f8d-0b32996f38c7"
"anisopetalous","architecture","0","fna_gloss_final_20130517","1aed913e-3ee8-4579-a53e-427089afb451"
"anisophyllous","architecture","0","fna_gloss_final_20130517","0c542f3c-8046-4a78-a08a-d4f908b1dd3c"
"anisosepalous","architecture","0","fna_gloss_final_20130517","52089ccc-1db7-4ea3-98ca-8b426f154d47"
"anisostemonous","architecture","0","fna_gloss_final_20130517","4c329bb2-2a0f-4ebf-90f2-7c9fdd672afe"
"annual","duration","0","fna_gloss_final_20130517","c522f8f3-7d70-4828-868d-609cb09799eb"
"annular","shape","0","fna_gloss_final_20130517","83b96b92-78b6-488e-b62b-d396c3b5222d"
"annulate","architecture","0","fna_gloss_final_20130517","a1fba8d6-efdc-11e2-b45f-0026b9326338"
"anomocytic","architecture","0","fna_gloss_final_20130517","27d8c96e-f3bd-4b99-aff4-438d7503d63f"
"anthelate","architecture","0","fna_gloss_final_20130517","a860f30b-8210-4993-9183-a3ec65abe67d"
"anther-bearing","architecture","0","fna_gloss_final_20130517","337ded97-bc00-4a56-afb2-df67d986ca9f"
"antheriferous","architecture","0","fna_gloss_final_20130517","9c75cd6b-93c3-4710-b176-c77ece69c8e7"
"anticlinal","orientation","0","fna_gloss_final_20130517","974ea7f7-67e3-4d2e-bde3-893af1af20ba"
"antrorse","orientation","0","fna_gloss_final_20130517","ef05f086-926a-4e04-b311-7d1ae473cce7"
"apart","arrangement","0","fna_gloss_final_20130517","a1fc312a-efdc-11e2-b45f-0026b9326338"
"apetalous","architecture","0","fna_gloss_final_20130517","eae1e5e0-7c5d-4888-91b0-430d4a58e547"
"aphyllous","architecture","0","fna_gloss_final_20130517","417ab169-b0ab-4744-96a6-141edb729e2f"
"apical","position","0","fna_gloss_final_20130517","81d228b3-8b57-4801-9d71-7685649fad41"
"apiculate","shape","0","fna_gloss_final_20130517","b54a28d4-62dc-4291-ac5b-719fec8092db"
"apocarpous","architecture","0","fna_gloss_final_20130517","8e35e96f-24d5-4b35-af20-c439618df76d"
"apogamous","reproduction","0","fna_gloss_final_20130517","274da8eb-607a-4403-853f-74c36ad90a9c"
"apolar","architecture","0","fna_gloss_final_20130517","6e64ae89-6bd3-423d-b052-9d09bbd5273f"
"apomictic","reproduction","0","fna_gloss_final_20130517","29722d75-09e1-47b0-9489-390206977bb2"
"apopetalous","architecture","0","fna_gloss_final_20130517","9eb17977-c289-41a6-92f4-5cb56ee8b0ea"
"aposepalous","architecture","0","fna_gloss_final_20130517","bd8bcbb3-9f44-4170-a31f-384ffd8befd0"
"aposporous","reproduction","0","fna_gloss_final_20130517","f71bc24e-901a-40b7-96f1-7cf36cd2216d"
"apostemonous","architecture","0","fna_gloss_final_20130517","1c9725bf-fe22-45b0-aa54-94c5d5f66032"
"apotropous","orientation","0","fna_gloss_final_20130517","dbaf4805-edea-4d0a-929b-f4a9634d6ed3"
"apparent","prominence","0","fna_gloss_final_20130517","a1fd36ec-efdc-11e2-b45f-0026b9326338"
"appendaged","architecture","0","fna_gloss_final_20130517","6302f4cb-aef2-422c-8be7-0e977efb310f"
"appressed","orientation","0","fna_gloss_final_20130517","5ad74690-c8b3-4a96-be98-5b1fe1386921"
"aquatic","habit","0","fna_gloss_final_20130517","ee5b05c6-082d-434f-a96b-223b98e24715"
"arachnoid","external texture","0","fna_gloss_final_20130517","c59814a5-c971-4edf-9809-8b1d085cab43"
"arachnose","external texture","0","fna_gloss_final_20130517","9006ba02-aab0-4740-b423-28f9cbd98567"
"arboreous","habit","0","fna_gloss_final_20130517","aeb9c9ea-2c50-452f-8cf4-2e73d77d3315"
"arborescent","habit","0","fna_gloss_final_20130517","a281cb6f-5f8a-4a8d-96f1-ce6b3f04b200"
"arched","orientation","0","fna_gloss_final_20130517","67169863-5daa-438a-90c3-550934c7599a"
"arching","orientation","0","fna_gloss_final_20130517","7d510184-b5e5-47d8-823b-2a030f6d5d63"
"arcuate","course","0","fna_gloss_final_20130517","6dae4d90-d707-4630-97d9-f0e65a3ffbce"
"areolate","relief","0","fna_gloss_final_20130517","01ad0434-8341-4116-9555-73abb91c13fc"
"arillate","architecture","0","fna_gloss_final_20130517","e5bdd8e6-82e2-4010-a1b0-104af66d91df"
