# curie_map:
#   BTERM: https://w3id.org/flopo/botanical-term/
#   PO: http://purl.obolibrary.org/obo/PO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence	mapping_tool	mapping_source	comment
BTERM:flopo_pato_replacements:7f7bb225eb703f	yellowish green	skos:exactMatch	PATO_0104114	yellowish green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:8019b7ee17d10e	yellowish-green	skos:exactMatch	PATO_0104114	yellowish green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:88f2d5df2b8c93	orange-yellow	skos:exactMatch	PATO_0104054	orange yellow	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:9147d2970c25ea	reddish purple	skos:exactMatch	PATO_0104079	reddish purple	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:92b8e28211cc4f	purplish-black	skos:exactMatch	PATO_0104157	purplish black	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:9acffb1ac95968	greenish yellow	skos:exactMatch	PATO_0104013	greenish yellow	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:b4f4109f31d527	deep blue	skos:exactMatch	PATO_0104064	deep blue	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:ba5af4823a5078	dark pink	skos:exactMatch	PATO_0104151	dark pink	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:c494326b3ef323	deep green	skos:exactMatch	PATO_0104123	deep green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:c61cefdae08087	very pale blue	skos:exactMatch	PATO_0104077	very pale blue	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:c911b546a38d65	pinkish white	skos:exactMatch	PATO_0104059	pinkish white	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:d317f3ef0d9c58	greenish-yellow	skos:exactMatch	PATO_0104013	greenish yellow	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:ef089723d6ac6f	very pale green	skos:exactMatch	PATO_0104223	very pale green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:ef72fa1cc925f1	velvety	skos:exactMatch	PATO_0104041	velutinous	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:efa81bad7e2ea0	blue-green	skos:exactMatch	PATO_0104020	blue green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:f441f0309a17ce	deep yellow	skos:exactMatch	PATO_0104005	deep yellow	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:f48ec042f0058d	reddish-purple	skos:exactMatch	PATO_0104079	reddish purple	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:f87a00960f4c67	terete	skos:exactMatch	PATO_0104016	terete	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_value_axioms:0525a1847f3564	very deep purplish-black	skos:exactMatch	FLOPO_0980239	very deep purplish-black	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:05e04437fe8452	bright deep blue	skos:exactMatch	FLOPO_0980376	bright deep blue	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:0755a76ab44ef8	cream or white	skos:relatedMatch	PATO_0104031		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980286; axiom_type=union
BTERM:flopo_value_axioms:0755a76ab44ef8	cream or white	skos:relatedMatch	PATO_0000323		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980286; axiom_type=union
BTERM:flopo_value_axioms:15d8bdb7d76148	blue or lilac	skos:relatedMatch	PATO_0000318		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980343; axiom_type=union
BTERM:flopo_value_axioms:15d8bdb7d76148	blue or lilac	skos:relatedMatch	PATO_0001943		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980343; axiom_type=union
BTERM:flopo_value_axioms:19e1b7b43cd384	banded and tessellated yellow and blue-green	skos:relatedMatch	PATO_0001946		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980180; axiom_type=components
BTERM:flopo_value_axioms:19e1b7b43cd384	banded and tessellated yellow and blue-green	skos:relatedMatch	PATO_0104307		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980180; axiom_type=components
BTERM:flopo_value_axioms:19e1b7b43cd384	banded and tessellated yellow and blue-green	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980180; axiom_type=components
BTERM:flopo_value_axioms:19e1b7b43cd384	banded and tessellated yellow and blue-green	skos:relatedMatch	PATO_0104020		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980180; axiom_type=components
BTERM:flopo_value_axioms:1ad3a7f45f01b1	glaucous blue-green	skos:relatedMatch	PATO_0104277		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980182; axiom_type=components
BTERM:flopo_value_axioms:1ad3a7f45f01b1	glaucous blue-green	skos:relatedMatch	PATO_0104020		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980182; axiom_type=components
BTERM:flopo_value_axioms:2385d4eb851e95	pale pinkish white	skos:exactMatch	FLOPO_0980405	pale pinkish white	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:2e8e4ff83b8d8f	papery yellow	skos:relatedMatch	PATO_0104010		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980321; axiom_type=components
BTERM:flopo_value_axioms:2e8e4ff83b8d8f	papery yellow	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_all_of:FLOPO_0980321; axiom_type=components
BTERM:flopo_value_axioms:2ed60572745a61	bright reddish purple	skos:exactMatch	FLOPO_0980409	bright reddish purple	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
