flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980191	http://purl.obolibrary.org/obo/FLOPO_0980191	glossy orange	A composite botanical phenotype value denoting glossy orange, used in flora descriptions; its component qualities are glistening, orange.	PATO_0000001	quality	1	flower color (1)	Adonis dentata: glossy orange flowers	FLOPO_VALUE_glossy_orange	components	PATO_0001373|PATO_0000953	""
FLOPO_0980192	http://purl.obolibrary.org/obo/FLOPO_0980192	dying fawn	A composite botanical phenotype value denoting dying fawn, used in flora descriptions; its component qualities are brown, yellow.	PATO_0000001	quality	1	flower color (1)	Ajuga chamaepitys ssp. tridactylites: dying fawn flowers 6 mm long	FLOPO_VALUE_dying_fawn	components	PATO_0000952|PATO_0000324	""
FLOPO_0980193	http://purl.obolibrary.org/obo/FLOPO_0980193	green and white	A composite botanical phenotype value denoting green and white, used in flora descriptions; its component qualities are green, white.	PATO_0000001	quality	1	flower color (1)	Allium sinaiticum: small green and white flowers	FLOPO_VALUE_green_and_white	components	PATO_0000320|PATO_0000323	""
FLOPO_0980194	http://purl.obolibrary.org/obo/FLOPO_0980194	deep pinkish red	A composite botanical phenotype value denoting deep pinkish red, used in flora descriptions; its component qualities are pink, red.	PATO_0000001	quality	1	flower color (1)	Aloe sheilae: deep pinkish red flowers	FLOPO_VALUE_deep_pinkish_red	components	PATO_0000954|PATO_0000322	""
FLOPO_0980196	http://purl.obolibrary.org/obo/FLOPO_0980196	red or yellow	A botanical color that is red or yellow.	PATO_0000014	color	1	flower color (1)	Aloe vera: red or yellow flowers	FLOPO_VALUE_red_or_yellow	union	PATO_0000322|PATO_0000324	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980198	http://purl.obolibrary.org/obo/FLOPO_0980198	greenish cream	A composite botanical phenotype value denoting greenish cream, used in flora descriptions; its component qualities are green, white, yellow.	PATO_0000001	quality	1	flower color (1)	Although not many species of this family: greenish cream flowers	FLOPO_VALUE_greenish_cream	components	PATO_0000320|PATO_0000323|PATO_0000324	""
FLOPO_0980199	http://purl.obolibrary.org/obo/FLOPO_0980199	greenish or pinkish	A botanical color that is greenish or pinkish.	PATO_0000014	color	1	flower color (1)	Amaranthus graecizans: greenish or pinkish flowers	FLOPO_VALUE_greenish_or_pinkish	union	FLOPO_0980085|FLOPO_0980097	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980201	http://purl.obolibrary.org/obo/FLOPO_0980201	pale yellowish	A botanical phenotype value denoting pale yellowish, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	1	flower color (1)	Ambrosia maritima: pale yellowish flowers	FLOPO_VALUE_pale_yellowish	subclass	PATO_0000324	""
FLOPO_0980202	http://purl.obolibrary.org/obo/FLOPO_0980202	very red	A botanical phenotype value denoting very red, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	1	root color (1)	An erect bushy herb: Very red root	FLOPO_VALUE_very_red	subclass	PATO_0000322	""
FLOPO_0980203	http://purl.obolibrary.org/obo/FLOPO_0980203	apricot-yellow with deep crimson centre	A composite botanical phenotype value denoting apricot-yellow with deep crimson centre, used in flora descriptions; its component qualities are red, yellow.	PATO_0000001	quality	1	flower color (1)	An erect many-stemmed: apricot-yellow with deep crimson centre	FLOPO_VALUE_apricot_yellow_with_deep_crimson_centre	components	PATO_0000322|PATO_0000324	""
FLOPO_0980204	http://purl.obolibrary.org/obo/FLOPO_0980204	brilliant deep blue	A botanical phenotype value denoting brilliant deep blue, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): blue.	PATO_0000318	blue	1	flower color (1)	Anchusa affinis: brilliant deep blue flowers	FLOPO_VALUE_brilliant_deep_blue	subclass	PATO_0000318	""
FLOPO_0980205	http://purl.obolibrary.org/obo/FLOPO_0980205	pale rose-pink	A composite botanical phenotype value denoting pale rose-pink, used in flora descriptions; its component qualities are pink, red.	PATO_0000001	quality	1	flower color (1)	Anchusa milleri: pale rose-pink flowers 5 mm wide	FLOPO_VALUE_pale_rose_pink	components	PATO_0000954|PATO_0000322	""
FLOPO_0980207	http://purl.obolibrary.org/obo/FLOPO_0980207	lilac or deep blue	A botanical color that is lilac or deep blue.	PATO_0000014	color	1	flower color (1)	Anticharis glandulosa: lilac or deep blue flowers	FLOPO_VALUE_lilac_or_deep_blue	union	PATO_0001943|PATO_0104064	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980208	http://purl.obolibrary.org/obo/FLOPO_0980208	deep lilac purple	A composite botanical phenotype value denoting deep lilac purple, used in flora descriptions; its component qualities are lilac, purple.	PATO_0000001	quality	1	flower color (1)	Anticharis linearis: tubular deep lilac purple flowers	FLOPO_VALUE_deep_lilac_purple	components	PATO_0001943|PATO_0000951	""
FLOPO_0980209	http://purl.obolibrary.org/obo/FLOPO_0980209	greenish golden	A composite botanical phenotype value denoting greenish golden, used in flora descriptions; its component qualities are green, yellow.	PATO_0000001	quality	1	flower color (1)	Argyrolobium sp. aff. arabicum: greenish golden flowers	FLOPO_VALUE_greenish_golden	components	PATO_0000320|PATO_0000324	""
FLOPO_0980210	http://purl.obolibrary.org/obo/FLOPO_0980210	upper ones tiny	A botanical phenotype value denoting upper ones tiny, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): decreased size.	PATO_0000587	decreased size	1	leaf size (1)	Artemisia abyssinica: the upper ones tiny	FLOPO_VALUE_upper_ones_tiny	subclass	PATO_0000587	""
FLOPO_0980211	http://purl.obolibrary.org/obo/FLOPO_0980211	bright dark green	A botanical phenotype value denoting bright dark green, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): green.	PATO_0000320	green	1	leaf color (1)	Asemi-prostrate densely leafy herb with stems: bright dark green	FLOPO_VALUE_bright_dark_green	subclass	PATO_0000320	""
FLOPO_0980212	http://purl.obolibrary.org/obo/FLOPO_0980212	very feathery	A botanical phenotype value denoting very feathery, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): texture.	PATO_0000150	texture	1	leaf texture (1)	Asemi-prostrate densely leafy herb with stems: very feathery	FLOPO_VALUE_very_feathery	subclass	PATO_0000150	""
FLOPO_0980213	http://purl.obolibrary.org/obo/FLOPO_0980213	reddish line	A botanical phenotype value denoting reddish line, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	1	tepal color (1)	Asphodelus refractus: a reddish line down the centre of each tepal	FLOPO_VALUE_reddish_line	subclass	PATO_0000322	""
FLOPO_0980214	http://purl.obolibrary.org/obo/FLOPO_0980214	flat-sided curved	A composite botanical phenotype value denoting flat-sided curved, used in flora descriptions; its component qualities are flat, curved.	PATO_0000001	quality	1	fruit shape (1)	Astragalus annularis: flat-sided curved pods	FLOPO_VALUE_flat_sided_curved	components	PATO_0000407|PATO_0000406	""
FLOPO_0980215	http://purl.obolibrary.org/obo/FLOPO_0980215	lilac flushed	A botanical phenotype value denoting lilac flushed, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): lilac.	PATO_0001943	lilac	1	flower color (1)	Astragalus atropilosus: white, lilac flushed flowers	FLOPO_VALUE_lilac_flushed	subclass	PATO_0001943	""
FLOPO_0980216	http://purl.obolibrary.org/obo/FLOPO_0980216	white, lilac flushed	A composite botanical phenotype value denoting white, lilac flushed, used in flora descriptions; its component qualities are white, lilac.	PATO_0000001	quality	1	flower color (1)	Astragalus atropilosus: white, lilac flushed flowers	FLOPO_VALUE_white_lilac_flushed	components	PATO_0000323|PATO_0001943	""
FLOPO_0980217	http://purl.obolibrary.org/obo/FLOPO_0980217	pink (occasionally flushed)	A botanical phenotype value denoting pink (occasionally flushed), used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	1	flower color (1)	Astragalus spinosus: occasionally flushed with pink	FLOPO_VALUE_pink_occasionally_flushed	subclass	PATO_0000954	""
FLOPO_0980218	http://purl.obolibrary.org/obo/FLOPO_0980218	short plump erect	A composite botanical phenotype value denoting short plump erect, used in flora descriptions; its component qualities are decreased height, erect.	PATO_0000001	quality	1	fruit shape (1)	Astragalus tribuloides var. minutus: short plump erect hairy pods	FLOPO_VALUE_short_plump_erect	components	PATO_0000569|PATO_0000622	""
FLOPO_0980219	http://purl.obolibrary.org/obo/FLOPO_0980219	fat spherical	A botanical phenotype value denoting fat spherical, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): spherical.	PATO_0001499	spherical	1	flower shape (1)	Atractylis cancellata: fat spherical flowers	FLOPO_VALUE_fat_spherical	subclass	PATO_0001499	""
FLOPO_0980220	http://purl.obolibrary.org/obo/FLOPO_0980220	slender curved spiny	A composite botanical phenotype value denoting slender curved spiny, used in flora descriptions; its component qualities are decreased thickness, curved, spiny.	PATO_0000001	quality	1	bract shape (1)	Atractylis cancellata: slender curved spiny bracts	FLOPO_VALUE_slender_curved_spiny	components	PATO_0000592|PATO_0000406|PATO_0001365	""
FLOPO_0980221	http://purl.obolibrary.org/obo/FLOPO_0980221	slender curved	A composite botanical phenotype value denoting slender curved, used in flora descriptions; its component qualities are decreased thickness, curved.	PATO_0000001	quality	1	bract shape (1)	Atractylis cancellata: slender curved spiny bracts	FLOPO_VALUE_slender_curved	components	PATO_0000592|PATO_0000406	""
FLOPO_0980222	http://purl.obolibrary.org/obo/FLOPO_0980222	lobed dentate	A composite botanical phenotype value denoting lobed dentate, used in flora descriptions; its component qualities are lobed, dentated.	PATO_0000001	quality	1	leaf shape (1)	Atractylis carduus: lobed dentate leaves	FLOPO_VALUE_lobed_dentate	components	PATO_0001979|PATO_0001205	""
FLOPO_0980223	http://purl.obolibrary.org/obo/FLOPO_0980223	flat-sided mangoshaped	A botanical phenotype value denoting flat-sided mangoshaped, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): flat.	PATO_0000407	flat	1	fruit shape (1)	Avicennia marina: flat-sided mangoshaped fruits	FLOPO_VALUE_flat_sided_mangoshaped	subclass	PATO_0000407	""
FLOPO_0980224	http://purl.obolibrary.org/obo/FLOPO_0980224	oval pear-shaped	A botanical phenotype value denoting oval pear-shaped, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): elliptic.	PATO_0000947	elliptic	1	fruit shape (1)	Balanites aegyptiaca: oval pear-shaped	FLOPO_VALUE_oval_pear_shaped	subclass	PATO_0000947	""
FLOPO_0980225	http://purl.obolibrary.org/obo/FLOPO_0980225	slender tubular	A composite botanical phenotype value denoting slender tubular, used in flora descriptions; its component qualities are decreased thickness, tubular.	PATO_0000001	quality	1	corolla shape (1)	Barleria acanthoides: slender tubular corolla	FLOPO_VALUE_slender_tubular	components	PATO_0000592|PATO_0002299	""
FLOPO_0980226	http://purl.obolibrary.org/obo/FLOPO_0980226	pale lilac-blue	A composite botanical phenotype value denoting pale lilac-blue, used in flora descriptions; its component qualities are blue, lilac.	PATO_0000001	quality	1	flower color (1)	Barleria hochstetteri: pale lilac-blue flowers	FLOPO_VALUE_pale_lilac_blue	components	PATO_0000318|PATO_0001943	""
FLOPO_0980227	http://purl.obolibrary.org/obo/FLOPO_0980227	deep glowing orange	A deep orange botanical color described as having a glowing appearance.	PATO_0104073	deep orange	1	flower color (1)	Barleria proxima: deep glowing orange flowers	FLOPO_VALUE_deep_glowing_orange	subclass	PATO_0104073	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980228	http://purl.obolibrary.org/obo/FLOPO_0980228	deep maroon-purple	A botanical phenotype value denoting deep maroon-purple, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): purple.	PATO_0000951	purple	1	flower color (1)	Barleria sp. aff. parviflora: deep maroon-purple flowers	FLOPO_VALUE_deep_maroon_purple	subclass	PATO_0000951	""
FLOPO_0980229	http://purl.obolibrary.org/obo/FLOPO_0980229	deep bright blue to almost white	A composite botanical phenotype value denoting deep bright blue to almost white, used in flora descriptions; its component qualities are blue, white.	PATO_0000001	quality	1	flower color (1)	Blepharis ciliaris: vary in colour from deep bright blue to almost white	FLOPO_VALUE_deep_bright_blue_to_almost_white	components	PATO_0000318|PATO_0000323	""
FLOPO_0980230	http://purl.obolibrary.org/obo/FLOPO_0980230	long exserted	A composite botanical phenotype value denoting long exserted, used in flora descriptions; its component qualities are elongated, exserted.	PATO_0000001	quality	1	stamen length (1)	Buddleja polystachya: long exserted stamens	FLOPO_VALUE_long_exserted	components	PATO_0001154|PATO_0000623	""
FLOPO_0980231	http://purl.obolibrary.org/obo/FLOPO_0980231	cordate wavy-edged	A botanical phenotype value denoting cordate wavy-edged, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): heart shaped.	PATO_0000948	heart shaped	1	leaf shape (1)	Bupleurum gerardii: cordate wavy-edged leaves	FLOPO_VALUE_cordate_wavy_edged	subclass	PATO_0000948	""
FLOPO_0980232	http://purl.obolibrary.org/obo/FLOPO_0980232	simple grass-like	A botanical phenotype value denoting simple grass-like, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): simple.	PATO_0001503	simple	1	leaf shape (1)	Bupleurum gerardii: simple grass-like leaves	FLOPO_VALUE_simple_grass_like	subclass	PATO_0001503	""
FLOPO_0980233	http://purl.obolibrary.org/obo/FLOPO_0980233	brilliant deep red	A botanical phenotype value denoting brilliant deep red, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	1	fruit color (1)	Cadaba glandulosa: brilliant deep red inside	FLOPO_VALUE_brilliant_deep_red	subclass	PATO_0000322	""
FLOPO_0980235	http://purl.obolibrary.org/obo/FLOPO_0980235	hard curved	A composite botanical phenotype value denoting hard curved, used in flora descriptions; its component qualities are hard, curved.	PATO_0000001	quality	1	fruit shape (1)	Calendula arvensis: hard curved fruits	FLOPO_VALUE_hard_curved	components	PATO_0000386|PATO_0000406	""
FLOPO_0980236	http://purl.obolibrary.org/obo/FLOPO_0980236	more rounded	A botanical phenotype value denoting more rounded, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): circular.	PATO_0000411	circular	1	bracteole shape (1)	Callipeltis aperta: the bracteoles are more rounded	FLOPO_VALUE_more_rounded	subclass	PATO_0000411	""
FLOPO_0980237	http://purl.obolibrary.org/obo/FLOPO_0980237	fading white	A botanical phenotype value denoting fading white, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): white.	PATO_0000323	white	1	flower color (1)	Campanula dulcis: fading white	FLOPO_VALUE_fading_white	subclass	PATO_0000323	""
FLOPO_0980238	http://purl.obolibrary.org/obo/FLOPO_0980238	flat shallow mahogany-red	A composite botanical phenotype value denoting flat shallow mahogany-red, used in flora descriptions; its component qualities are red, flat, decreased depth.	PATO_0000001	quality	1	flower color (1)	Caralluma commutata: flat shallow mahogany-red flowers	FLOPO_VALUE_flat_shallow_mahogany_red	components	PATO_0000322|PATO_0000407|PATO_0001472	""
FLOPO_0980239	http://purl.obolibrary.org/obo/FLOPO_0980239	very deep purplish-black	A botanical color that is a very deep variant of purplish black.	PATO_0104157	purplish black	1	flower color (1)	Caralluma deflersiana: very deep purplish-black flowers	FLOPO_VALUE_very_deep_purplish_black	subclass	PATO_0104157	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980241	http://purl.obolibrary.org/obo/FLOPO_0980241	pale greenish-fawn	A composite botanical phenotype value denoting pale greenish-fawn, used in flora descriptions; its component qualities are brown, yellow, green.	PATO_0000001	quality	1	flower color (1)	Caralluma edulis: pale greenish-fawn cup-shaped flowers	FLOPO_VALUE_pale_greenish_fawn	components	PATO_0000952|PATO_0000324|PATO_0000320	""
FLOPO_0980243	http://purl.obolibrary.org/obo/FLOPO_0980243	green-backed with red freckles	A composite botanical phenotype value denoting green-backed with red freckles, used in flora descriptions; its component qualities are green, red.	PATO_0000001	quality	1	flower color (1)	Caralluma shadhbana: the flowers are green-backed with red freckles	FLOPO_VALUE_green_backed_with_red_freckles	components	PATO_0000320|PATO_0000322	""
FLOPO_0980244	http://purl.obolibrary.org/obo/FLOPO_0980244	green-backed	A botanical phenotype value denoting green-backed, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): green.	PATO_0000320	green	1	flower color (1)	Caralluma shadhbana: the flowers are green-backed with red freckles	FLOPO_VALUE_green_backed	subclass	PATO_0000320	""
FLOPO_0980245	http://purl.obolibrary.org/obo/FLOPO_0980245	wide flat curved	A composite botanical phenotype value denoting wide flat curved, used in flora descriptions; its component qualities are increased width, flat, curved.	PATO_0000001	quality	1	fruit shape (1)	Cassia holosericea: wide flat curved pods	FLOPO_VALUE_wide_flat_curved	components	PATO_0000600|PATO_0000407|PATO_0000406	""
FLOPO_0980246	http://purl.obolibrary.org/obo/FLOPO_0980246	pink and white	A composite botanical phenotype value denoting pink and white, used in flora descriptions; its component qualities are pink, white.	PATO_0000001	quality	1	flower color (1)	Celosia trigyna: pink and white flowers	FLOPO_VALUE_pink_and_white	components	PATO_0000954|PATO_0000323	""
FLOPO_0980247	http://purl.obolibrary.org/obo/FLOPO_0980247	reddish green	A composite botanical phenotype value denoting reddish green, used in flora descriptions; its component qualities are red, green.	PATO_0000001	quality	1	flower color (1)	Celtis africana: reddish green flowers	FLOPO_VALUE_reddish_green	components	PATO_0000322|PATO_0000320	""
FLOPO_0980248	http://purl.obolibrary.org/obo/FLOPO_0980248	pale creamy	"A cream color expressed by the adjectival flora descriptor ""pale creamy"", indicating a pale appearance relative to the cream prototype."	PATO_0104031	cream	1	flower color (1)	Centaurea sinaica: pale creamy flowers	FLOPO_VALUE_pale_creamy	subclass	PATO_0104031	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980249	http://purl.obolibrary.org/obo/FLOPO_0980249	cream freckled with crimson spots	A composite botanical phenotype value denoting cream freckled with crimson spots, used in flora descriptions; its component qualities are white, yellow, red.	PATO_0000001	quality	1	corolla color (1)	Ceropegia sp. aff. devecchii var. adelaidae: the corolla cream freckled with crimson spots	FLOPO_VALUE_cream_freckled_with_crimson_spots	components	PATO_0000323|PATO_0000324|PATO_0000322	""
FLOPO_0980250	http://purl.obolibrary.org/obo/FLOPO_0980250	creamy with palegreen longitudinal lines	A composite botanical phenotype value denoting creamy with palegreen longitudinal lines, used in flora descriptions; its component qualities are white, yellow.	PATO_0000001	quality	1	corolla color (1)	Ceropegia sp. aff. variegata: the corolla creamy with palegreen longitudinal lines	FLOPO_VALUE_creamy_with_palegreen_longitudinal_lines	components	PATO_0000323|PATO_0000324	""
FLOPO_0980251	http://purl.obolibrary.org/obo/FLOPO_0980251	pale greygreen with red streaks and freckles	A botanical phenotype value denoting pale greygreen with red streaks and freckles, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	1	corolla color (1)	Ceropegia sp. aff. variegata: corolla pale greygreen with red streaks and freckles	FLOPO_VALUE_pale_greygreen_with_red_streaks_and_freckles	subclass	PATO_0000322	""
FLOPO_0980252	http://purl.obolibrary.org/obo/FLOPO_0980252	flat, round	A composite botanical phenotype value denoting flat, round, used in flora descriptions; its component qualities are flat, circular.	PATO_0000001	quality	1	fruit shape (1)	Chorispora purpurascens: crowded flat, round fruits	FLOPO_VALUE_flat_round	components	PATO_0000407|PATO_0000411	""
FLOPO_0980253	http://purl.obolibrary.org/obo/FLOPO_0980253	rough cylindrical	A composite botanical phenotype value denoting rough cylindrical, used in flora descriptions; its component qualities are rough, cylindrical.	PATO_0000001	quality	1	fruit shape (1)	Chorispora purpurascens: rough cylindrical fruits	FLOPO_VALUE_rough_cylindrical	components	PATO_0000700|PATO_0001873	""
FLOPO_0980254	http://purl.obolibrary.org/obo/FLOPO_0980254	blue-lilac	A composite botanical phenotype value denoting blue-lilac, used in flora descriptions; its component qualities are blue, lilac.	PATO_0000001	quality	1	flower color (1)	Cicer cuneatum: blue-lilac flowers	FLOPO_VALUE_blue_lilac	components	PATO_0000318|PATO_0001943	""
FLOPO_0980255	http://purl.obolibrary.org/obo/FLOPO_0980255	bright rich blue	A botanical phenotype value denoting bright rich blue, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): blue.	PATO_0000318	blue	1	flower color (1)	Cicer cuneatum: bright rich blue flowers	FLOPO_VALUE_bright_rich_blue	subclass	PATO_0000318	""
FLOPO_0980256	http://purl.obolibrary.org/obo/FLOPO_0980256	sky-blue	A botanical phenotype value denoting sky-blue, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): blue.	PATO_0000318	blue	1	flower color (1)	Cichorium bottae: sky-blue flowers	FLOPO_VALUE_sky_blue	subclass	PATO_0000318	""
FLOPO_0980257	http://purl.obolibrary.org/obo/FLOPO_0980257	sky blue	A botanical phenotype value denoting sky blue, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): blue.	PATO_0000318	blue	1	flower color (1)	Cichorium intybus: sky blue flowers	FLOPO_VALUE_sky_blue	subclass	PATO_0000318	""
FLOPO_0980258	http://purl.obolibrary.org/obo/FLOPO_0980258	almost orbicular	A botanical phenotype value denoting almost orbicular, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): orbicular.	PATO_0001934	orbicular	1	leaf shape (1)	Cineraria abyssinica: almost orbicular	FLOPO_VALUE_almost_orbicular	subclass	PATO_0001934	""
FLOPO_0980259	http://purl.obolibrary.org/obo/FLOPO_0980259	smooth round	A composite botanical phenotype value denoting smooth round, used in flora descriptions; its component qualities are smooth, circular.	PATO_0000001	quality	1	fruit shape (1)	Citrullus colocynthis: smooth round bitter fruits	FLOPO_VALUE_smooth_round	components	PATO_0000701|PATO_0000411	""
FLOPO_0980260	http://purl.obolibrary.org/obo/FLOPO_0980260	brown and white	A composite botanical phenotype value denoting brown and white, used in flora descriptions; its component qualities are brown, white.	PATO_0000001	quality	1	flower color (1)	Cleome amblyocarpa: small brown and white flowers	FLOPO_VALUE_brown_and_white	components	PATO_0000952|PATO_0000323	""
FLOPO_0980261	http://purl.obolibrary.org/obo/FLOPO_0980261	sandy-yellow	A botanical phenotype value denoting sandy-yellow, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	1	petal color (1)	Cleome schweinfurthii: striped with sandy-yellow	FLOPO_VALUE_sandy_yellow	subclass	PATO_0000324	""
FLOPO_0980262	http://purl.obolibrary.org/obo/FLOPO_0980262	chestnut-brown	A botanical phenotype value denoting chestnut-brown, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): brown.	PATO_0000952	brown	1	flower color (1)	Cleome trinervia: chestnut-brown flowers	FLOPO_VALUE_chestnut_brown	subclass	PATO_0000952	""
FLOPO_0980263	http://purl.obolibrary.org/obo/FLOPO_0980263	cream flushed with red	A composite botanical phenotype value denoting cream flushed with red, used in flora descriptions; its component qualities are white, yellow, red.	PATO_0000001	quality	1	fruit color (1)	Colutea istria: ripe pods cream flushed with red	FLOPO_VALUE_cream_flushed_with_red	components	PATO_0000323|PATO_0000324|PATO_0000322	""
FLOPO_0980264	http://purl.obolibrary.org/obo/FLOPO_0980264	dark-green	A botanical phenotype value denoting dark-green, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): green.	PATO_0000320	green	1	leaf color (1)	Combretum molle: dark-green-leaved	FLOPO_VALUE_dark_green	subclass	PATO_0000320	""
FLOPO_0980265	http://purl.obolibrary.org/obo/FLOPO_0980265	pale bluish-lilac	A composite botanical phenotype value denoting pale bluish-lilac, used in flora descriptions; its component qualities are lilac, blue.	PATO_0000001	quality	1	flower color (1)	Commelina sp. aff. albescens: pale bluish-lilac flowers	FLOPO_VALUE_pale_bluish_lilac	components	PATO_0001943|PATO_0000318	""
FLOPO_0980266	http://purl.obolibrary.org/obo/FLOPO_0980266	pale rose-lilac	A composite botanical phenotype value denoting pale rose-lilac, used in flora descriptions; its component qualities are lilac, pink, red.	PATO_0000001	quality	1	flower color (1)	Commicarpus helenae: pale rose-lilac flowers	FLOPO_VALUE_pale_rose_lilac	components	PATO_0001943|PATO_0000954|PATO_0000322	""
FLOPO_0980267	http://purl.obolibrary.org/obo/FLOPO_0980267	pink-flushed	A botanical phenotype value denoting pink-flushed, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	1	fruit color (1)	Commiphora kataf: oval pink-flushed fruits	FLOPO_VALUE_pink_flushed	subclass	PATO_0000954	""
FLOPO_0980268	http://purl.obolibrary.org/obo/FLOPO_0980268	almost globular	A botanical phenotype value denoting almost globular, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): spherical.	PATO_0001499	spherical	1	fruit shape (1)	Commiphora kataf: almost globular green fruits	FLOPO_VALUE_almost_globular	subclass	PATO_0001499	""
FLOPO_0980269	http://purl.obolibrary.org/obo/FLOPO_0980269	creamy-pink	A composite botanical phenotype value denoting creamy-pink, used in flora descriptions; its component qualities are white, yellow, pink.	PATO_0000001	quality	1	flower color (1)	Commiphora kataf: creamy-pink flowers	FLOPO_VALUE_creamy_pink	components	PATO_0000323|PATO_0000324|PATO_0000954	""
FLOPO_0980270	http://purl.obolibrary.org/obo/FLOPO_0980270	red flushed green	A composite botanical phenotype value denoting red flushed green, used in flora descriptions; its component qualities are red, green.	PATO_0000001	quality	1	leaf color (1)	Commiphora madagascariensis: red flushed green pate	FLOPO_VALUE_red_flushed_green	components	PATO_0000322|PATO_0000320	""
FLOPO_0980271	http://purl.obolibrary.org/obo/FLOPO_0980271	oval mango-shaped	A botanical phenotype value denoting oval mango-shaped, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): elliptic.	PATO_0000947	elliptic	1	fruit shape (1)	Commiphora myrrha: oval mango-shaped fruits	FLOPO_VALUE_oval_mango_shaped	subclass	PATO_0000947	""
FLOPO_0980273	http://purl.obolibrary.org/obo/FLOPO_0980273	almost spherical	A botanical phenotype value denoting almost spherical, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): spherical.	PATO_0001499	spherical	1	fruit shape (1)	Commiphora sp. aff. erythraea: almost spherical fruits	FLOPO_VALUE_almost_spherical	subclass	PATO_0001499	""
FLOPO_0980274	http://purl.obolibrary.org/obo/FLOPO_0980274	greenish yellow inside	A greenish-yellow color localized to an inner surface or region of the bearer.	PATO_0104013	greenish yellow	1	flower color (1)	Commiphora sp. nov. aff. myrrha: greenish yellow inside	FLOPO_VALUE_greenish_yellow_inside	subclass	PATO_0104013	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980275	http://purl.obolibrary.org/obo/FLOPO_0980275	pink streaked	A botanical phenotype value denoting pink streaked, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	1	flower color pattern (1)	Convolvulus deserti: streaked with pink behind	FLOPO_VALUE_pink_streaked	subclass	PATO_0000954	""
FLOPO_0980276	http://purl.obolibrary.org/obo/FLOPO_0980276	streaked with pink behind	A botanical phenotype value denoting streaked with pink behind, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	1	flower color pattern (1)	Convolvulus deserti: streaked with pink behind	FLOPO_VALUE_streaked_with_pink_behind	subclass	PATO_0000954	""
FLOPO_0980277	http://purl.obolibrary.org/obo/FLOPO_0980277	inflated oval	A composite botanical phenotype value denoting inflated oval, used in flora descriptions; its component qualities are inflated, elliptic.	PATO_0000001	quality	1	fruit shape (1)	Crotalaria leptocarpa: inflated oval pods	FLOPO_VALUE_inflated_oval	components	PATO_0002376|PATO_0000947	""
FLOPO_0980278	http://purl.obolibrary.org/obo/FLOPO_0980278	slightly rounded	A botanical phenotype value denoting slightly rounded, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): circular.	PATO_0000411	circular	1	leaf shape (1)	Crotalaria quartiniana: slightly rounded	FLOPO_VALUE_slightly_rounded	subclass	PATO_0000411	""
