flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980128	http://purl.obolibrary.org/obo/FLOPO_0980128	deep magenta	A botanical phenotype value denoting deep magenta, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): magenta.	PATO_0000321	magenta	3	flower color (3)	Boerhavia coccinea: deep magenta flowers || Digera muricata: deep magenta flowers || Erodium glaucophyllum: deep magenta flowers	FLOPO_VALUE_deep_magenta	subclass	PATO_0000321	""
FLOPO_0980129	http://purl.obolibrary.org/obo/FLOPO_0980129	deeply lobed	A botanical phenotype value denoting deeply lobed, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): lobed.	PATO_0001979	lobed	3	leaf lobed (2)|leaf shape (1)	Cakile arabica: deeply lobed leaves || Conyza stricta: deeply lobed leaves || Senecio glaucus: slender deeply lobed leaves	FLOPO_VALUE_deeply_lobed	subclass	PATO_0001979	""
FLOPO_0980130	http://purl.obolibrary.org/obo/FLOPO_0980130	brownish	A botanical color in which brown is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	3	leaf color (2)|flower color (1)	Dichrostachys cinerea: brownish female flowers || Potamogeton pectinatus: narrow brownish wavy-edged leaves || Potamogeton pusillus: narrow brownish leaves	FLOPO_VALUE_brownish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980131	http://purl.obolibrary.org/obo/FLOPO_0980131	rose-pink	A composite botanical phenotype value denoting rose-pink, used in flora descriptions; its component qualities are pink, red.	PATO_0000001	quality	3	flower color (3)	Dichrostachys cinerea: rose-pink male flowers || Erodium crassifolium: rose-pink flowers || Lotus lanuginosus: rose-pink flowers	FLOPO_VALUE_rose_pink	components	PATO_0000954|PATO_0000322	""
FLOPO_0980132	http://purl.obolibrary.org/obo/FLOPO_0980132	pale pinkish	A botanical phenotype value denoting pale pinkish, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	3	flower color (3)	Endostemon gracile: pale pinkish flowers || Malva verticillata: pale pinkish flowers || Pavonia arabica: pale pinkish flowers	FLOPO_VALUE_pale_pinkish	subclass	PATO_0000954	""
FLOPO_0980133	http://purl.obolibrary.org/obo/FLOPO_0980133	deep lilac-blue	A composite botanical phenotype value denoting deep lilac-blue, used in flora descriptions; its component qualities are blue, lilac.	PATO_0000001	quality	3	flower color (3)	Globularia arabica: deep lilac-blue scabious-like flowers || Gynandiris sisyrinchium: deep lilac-blue flowers 5.5 cm wide || Teucrium oliverianum: deep lilac-blue flowers	FLOPO_VALUE_deep_lilac_blue	components	PATO_0000318|PATO_0001943	""
FLOPO_0980135	http://purl.obolibrary.org/obo/FLOPO_0980135	narrow cylindrical	A composite botanical phenotype value denoting narrow cylindrical, used in flora descriptions; its component qualities are decreased width, cylindrical.	PATO_0000001	quality	3	fruit shape (3)	Indigofera phillipsiae: narrow cylindrical fruits || Indigofera sessiliflora: narrow cylindrical pods || Moricandia sinaica: narrow cylindrical fruits	FLOPO_VALUE_narrow_cylindrical	components	PATO_0000599|PATO_0001873	""
FLOPO_0980136	http://purl.obolibrary.org/obo/FLOPO_0980136	pinkish lilac	A composite botanical phenotype value denoting pinkish lilac, used in flora descriptions; its component qualities are pink, lilac.	PATO_0000001	quality	3	flower color (3)	Ipomoea sinensis ssp. blepharosepala: pinkish lilac flowers || Moricandia sinaica: pinkish lilac flowers || Pisum sativum: pinkish lilac flowers	FLOPO_VALUE_pinkish_lilac	components	PATO_0000954|PATO_0001943	""
FLOPO_0980138	http://purl.obolibrary.org/obo/FLOPO_0980138	purplish-brown	A composite botanical phenotype value denoting purplish-brown, used in flora descriptions; its component qualities are purple, brown.	PATO_0000001	quality	2	fruit color (1)|flower color (1)	Acacia asak: Flat purplish-brown pods || Holothrix arachnoidea: many purplish-brown flowers	FLOPO_VALUE_purplish_brown	components	PATO_0000951|PATO_0000952	""
FLOPO_0980139	http://purl.obolibrary.org/obo/FLOPO_0980139	creamy-yellow	A composite botanical phenotype value denoting creamy-yellow, used in flora descriptions; its component qualities are white, yellow.	PATO_0000001	quality	2	flower color (2)	Acacia etbaica ssp. uncinata: creamy-yellow flowers || Hippocrepis constricta: creamy-yellow flowers	FLOPO_VALUE_creamy_yellow	components	PATO_0000323|PATO_0000324	""
FLOPO_0980140	http://purl.obolibrary.org/obo/FLOPO_0980140	very wide	A botanical phenotype value denoting very wide, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): increased width.	PATO_0000600	increased width	2	fruit width (2)	Acacia hamulosa: pods very wide and slightly twisted || Dalechampia scandens var. cordofana: fruits cupped in 8 mm very wide	FLOPO_VALUE_very_wide	subclass	PATO_0000600	""
