phenotype_class_iri	annotation_class_id	expression_sha256	supporting_assertion_count	canonical_expression_signature
https://w3id.org/flopo/annotation-class/FAC_001bb3636f87f14853f8e2316d84961b	FAC_001bb3636f87f14853f8e2316d84961b	001bb3636f87f14853f8e2316d84961b0677921933c2433800a238760dd5be97	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009031"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""7"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""22""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_001e05bdfc96ec13795245ee03bd971c	FAC_001e05bdfc96ec13795245ee03bd971c	001e05bdfc96ec13795245ee03bd971c7aac516934a87e3de6b9f3f1269b975a	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009025"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""6"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""7""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_001f02548103835a3af7c45e02485512	FAC_001f02548103835a3af7c45e02485512	001f02548103835a3af7c45e02485512f59a40b5e4cfedbc50dcf59b5bd83ce5	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009025"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""7"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""20""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_00254c145b406b091e3e1ca22456953c	FAC_00254c145b406b091e3e1ca22456953c	00254c145b406b091e3e1ca22456953c2279042241ac45d8389990b4e8d54b57	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009055"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000921"",""kind"":""numeric"",""lower_inclusive"":""0.3"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""1""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_002a609e54a1063fb378d5e20a5a5a88	FAC_002a609e54a1063fb378d5e20a5a5a88	002a609e54a1063fb378d5e20a5a5a88d3f5168044cc1a18ca6b2697675dbdc6	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0004518"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000119"",""kind"":""numeric"",""lower_inclusive"":""10"",""unit"":""http://purl.obolibrary.org/obo/UO_0000008"",""upper_inclusive"":""15""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_002e1bda6b159a0db5ca632a87077584	FAC_002e1bda6b159a0db5ca632a87077584	002e1bda6b159a0db5ca632a870775847efac3c1fb17d40165a89d8e9d047bf4	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0025073"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1.1"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""5.5""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_002ec90f68798cbadf1b0799728613ac	FAC_002ec90f68798cbadf1b0799728613ac	002ec90f68798cbadf1b0799728613ac474a3c8e1f2c33177f266d4a7ed7940a	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009001"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""10""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_0030dab7549837c7c4c267f6b12ef577	FAC_0030dab7549837c7c4c267f6b12ef577	0030dab7549837c7c4c267f6b12ef5779ab8a4d8ab8168f9101899ccae5ea356	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009025"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0001334"",""kind"":""numeric"",""lower_inclusive"":""25"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""25""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_00332ec5d634cbaf2563a7add7078c9e	FAC_00332ec5d634cbaf2563a7add7078c9e	00332ec5d634cbaf2563a7add7078c9e4a880b79136b2b62ec71b68099b71f94	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009053"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""1.2"",""unit"":""http://purl.obolibrary.org/obo/UO_0000015"",""upper_inclusive"":""6""},""season_restrictions"":[],""signature_version"":1}"
https://w3id.org/flopo/annotation-class/FAC_003416e667f3833a17375ad3bf7813e1	FAC_003416e667f3833a17375ad3bf7813e1	003416e667f3833a17375ad3bf7813e117240dee1eb250eaded0de880767f139	1	"{""bearer"":""http://purl.obolibrary.org/obo/PO_0009001"",""negated"":false,""phenotype_root"":""http://semanticscience.org/resource/SIO_010056"",""quality"":{""attribute"":""http://purl.obolibrary.org/obo/PATO_0000122"",""kind"":""numeric"",""lower_inclusive"":""3"",""unit"":""http://purl.obolibrary.org/obo/UO_0000016"",""upper_inclusive"":""10""},""season_restrictions"":[],""signature_version"":1}"
