flopo_id	label	signature	bearer_po_id	category	new_parent	classification_method	review_status
FLOPO_0001099	phyllome sinus phenotype	PHENO|PO_0025383	PO:0025383	anatomical_space	FLOPO_0017857	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001104	epidermis phenotype	PHENO|PO_0005679	PO:0005679	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001107	pistillode phenotype	PHENO|PO_0009078	PO:0009078	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001124	pappus phenotype	PHENO|PO_0025393	PO:0025393	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001129	mesocarp phenotype	PHENO|PO_0009087	PO:0009087	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001157	plant callus phenotype	PHENO|PO_0005052	PO:0005052	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001185	short shoot phenotype	PHENO|PO_0004701	PO:0004701	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001223	locule phenotype	PHENO|PO_0025263	PO:0025263	anatomical_space	FLOPO_0017857	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001234	stereome phenotype	PHENO|PO_0030050	PO:0030050	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001290	anther theca phenotype	PHENO|PO_0009069	PO:0009069	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001313	shoot system phenotype	PHENO|PO_0009006	PO:0009006	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001328	septum phenotype	PHENO|PO_0000030	PO:0000030	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001339	pericarp phenotype	PHENO|PO_0009084	PO:0009084	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001391	awn phenotype	PHENO|PO_0025349	PO:0025349	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001407	shoot internode phenotype	PHENO|PO_0005005	PO:0005005	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001467	epicalyx phenotype	PHENO|PO_0009063	PO:0009063	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001470	caruncle phenotype	PHENO|PO_0020060	PO:0020060	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001524	hilum phenotype	PHENO|PO_0020063	PO:0020063	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001563	raphe phenotype	PHENO|PO_0020027	PO:0020027	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001592	palmate leaf phenotype	PHENO|PO_0020046	PO:0020046	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001626	prickle phenotype	PHENO|PO_0025169	PO:0025169	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001652	plant embryo phenotype	PHENO|PO_0009009	PO:0009009	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0001714	leaf midvein phenotype	PHENO|PO_0020139	PO:0020139	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
