flopo_id	label	change	old_colours	new_colours	note
FLOPO:0980323	obsolete dark crimson-red	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980335	obsolete greenish-gold	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980352	obsolete very pale pink	obsoleted		FLOPO:0988012	oboInOwl:consider
FLOPO:0980359	obsolete pale salmon-pink	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980363	obsolete bright sky-blue	obsoleted		FLOPO:0988025	oboInOwl:consider
FLOPO:0980364	obsolete dark purplish	obsoleted		FLOPO:0988008	oboInOwl:consider
FLOPO:0980372	obsolete pale greenish-white	obsoleted		PATO:0104067	oboInOwl:consider
FLOPO:0980374	obsolete pale reddish	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980375	obsolete greyish heart-shaped	obsoleted		FLOPO:0988010	oboInOwl:consider
FLOPO:0980376	obsolete bright deep blue	obsoleted		PATO:0104064	oboInOwl:consider
FLOPO:0980382	obsolete pale grey	obsoleted		FLOPO:0988010	oboInOwl:consider
FLOPO:0980398	obsolete brilliant deep pink	obsoleted		FLOPO:0988032	oboInOwl:consider
FLOPO:0980402	obsolete orange ripe	obsoleted		FLOPO:0988002	oboInOwl:consider
FLOPO:0980403	obsolete bright lilac	obsoleted		FLOPO:0988008	oboInOwl:consider
FLOPO:0980405	obsolete pale pinkish white	obsoleted		PATO:0104059	oboInOwl:consider
FLOPO:0980406	obsolete crimson tipped	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980409	obsolete bright reddish purple	obsoleted		PATO:0104079	oboInOwl:consider
FLOPO:0980416	obsolete reddish orange	obsoleted		FLOPO:0988015	IAO:0100001
FLOPO:0980586	obsolete cream sensu RHS Colour Chart fifth edition	obsoleted		FLOPO:0988019	oboInOwl:consider
FLOPO:0980587	obsolete cream sensu Saccardo (1891)	obsoleted		FLOPO:0988019	oboInOwl:consider
FLOPO:0980588	obsolete crimson sensu Wilson Horticultural Colour Chart (1938/1940)	obsoleted		FLOPO:0988038	oboInOwl:consider
FLOPO:0980589	obsolete crimson sensu Textile Color Card Association of the USA	obsoleted		PATO:0104087	oboInOwl:consider
FLOPO:0980590	obsolete scarlet sensu Saccardo (1891)	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980591	obsolete scarlet sensu Ridgway (1912)	obsoleted		FLOPO:0988061	oboInOwl:consider
FLOPO:0980592	obsolete scarlet sensu Wilson Horticultural Colour Chart (1938/1940)	obsoleted		FLOPO:0988038	oboInOwl:consider
FLOPO:0980593	obsolete lemon yellow sensu Saccardo (1891)	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980594	obsolete lemon yellow sensu Ridgway (1912)	obsoleted		PATO:0104013	oboInOwl:consider
FLOPO:0980595	obsolete mahogany red sensu Ridgway (1912)	obsoleted		FLOPO:0988069	oboInOwl:consider
FLOPO:0980596	obsolete salmon colour sensu Saccardo (1891)	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980597	obsolete salmon colour sensu Ridgway (1912)	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980598	obsolete chestnut colour sensu Saccardo (1891)	obsoleted		PATO:0001287	oboInOwl:consider
FLOPO:0980599	obsolete chestnut sensu Ridgway (1912)	obsoleted		FLOPO:0988069	oboInOwl:consider
FLOPO:0980600	obsolete chestnut-brown sensu Ridgway (1912)	obsoleted		PATO:0001287	oboInOwl:consider
FLOPO:0980601	obsolete chocolate brown sensu Saccardo (1891)	obsoleted		FLOPO:0988072	oboInOwl:consider
FLOPO:0980602	obsolete chocolate sensu Ridgway (1912)	obsoleted		FLOPO:0988072	oboInOwl:consider
FLOPO:0980603	obsolete olive-green sensu Saccardo (1891)	obsoleted		FLOPO:0988005	oboInOwl:consider
FLOPO:0980604	obsolete olive sensu Ridgway (1912)	obsoleted		FLOPO:0988021	oboInOwl:consider
FLOPO:0980605	obsolete olive-green sensu Ridgway (1912)	obsoleted		FLOPO:0988130	oboInOwl:consider
FLOPO:0980606	obsolete rose colour sensu Saccardo (1891)	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980607	obsolete rose color sensu Ridgway (1912)	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980608	obsolete rose pink sensu Ridgway (1912)	obsoleted		FLOPO:0988261	oboInOwl:consider
FLOPO:0980609	obsolete straw colour sensu Saccardo (1891)	obsoleted		FLOPO:0988019	oboInOwl:consider
FLOPO:0980610	obsolete straw yellow sensu Ridgway (1912)	obsoleted		FLOPO:0988110	oboInOwl:consider
