old_flopo_id	old_label	obsolete_label	old_signature	replacement_flopo_id	replacement_label	replacement_signature	replacement_id_status	term_replaced_by	current_quality_label	current_quality_definition	replacement_quality_label	replacement_quality_definition	old_class_action	replacement_class_action	evidence	recommendation	curator_decision	curator_notes
FLOPO_0010621	leaf base pubescent	obsolete leaf base pubescent	EQ|PO_0020040|PATO_0000455	FLOPO_0980537	leaf base pubescent	EQ|PO_0020040|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980537	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0011121	anther theca pubescent	obsolete anther theca pubescent	EQ|PO_0009069|PATO_0000455	FLOPO_0980519	anther theca pubescent	EQ|PO_0009069|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980519	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0011234	thorn pubescent	obsolete thorn pubescent	EQ|PO_0025172|PATO_0000455	FLOPO_0980563	thorn pubescent	EQ|PO_0025172|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980563	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0011952	primary parietal cell pubescent	obsolete primary parietal cell pubescent	EQ|PO_0006010|PATO_0000455	FLOPO_0980472	primary parietal cell pubescent	EQ|PO_0006010|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980472	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0012113	tepal pubescent	obsolete tepal pubescent	EQ|PO_0009033|PATO_0000455	FLOPO_0980494	tepal pubescent	EQ|PO_0009033|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980494	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0012218	plumule pubescent	obsolete plumule pubescent	EQ|PO_0020032|PATO_0000455	FLOPO_0980533	plumule pubescent	EQ|PO_0020032|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980533	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0012694	radicle pubescent	obsolete radicle pubescent	EQ|PO_0020031|PATO_0000455	FLOPO_0980532	radicle pubescent	EQ|PO_0020031|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980532	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0012701	gynoecium ridge pubescent	obsolete gynoecium ridge pubescent	EQ|PO_0025088|PATO_0000455	FLOPO_0980558	gynoecium ridge pubescent	EQ|PO_0025088|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980558	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0013307	pappus pubescent	obsolete pappus pubescent	EQ|PO_0025393|PATO_0000455	FLOPO_0980579	pappus pubescent	EQ|PO_0025393|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980579	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
FLOPO_0013435	pulvinus pubescent	obsolete pulvinus pubescent	EQ|PO_0009000|PATO_0000455	FLOPO_0980481	pulvinus pubescent	EQ|PO_0009000|PATO_0001320	new_approved_reserved	http://purl.obolibrary.org/obo/FLOPO_0980481	pubescent	A maturity quality inhering in a bearer by virtue of the bearer's having arrived at the onset of puberty (the age at which sex glands become functional) but not yet fully mature.	pubescent hair	A pilosity quality of being covered with short hairs or soft down.	remove_logical_axioms_and_usages;retain_definition;add_owl_deprecated_true;prefix_label_obsolete;add_IAO_0100001	mint_new_class_with_correct_botanical_pilosity_signature	EVID:UPOV_TGP14|EVID:AOS_DOWNY|PATO-source-definitions	obsolete_and_replace_wrong_semantics	accept	Approved by Robert Hoehndorf (ORCID:0000-0001-8149-5890) on 2026-07-15.
